"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples","# Detects","# Exceedances","# of Samples Within Last 10 Years (2013-2023)","# of Exceedances Within Last 10 Years (2013-2023)","# of Samples Within Last 5 Years (2018-2023)","# Samples Since Last Exceedance","Class C CCC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CCC","Class C CMC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CMC","Was Last Exceedance Within Current 5-year Assessment Period?","Reevaluation Categorization Decision for Class C","Decision Logic Case #"
"PINEY BRANCH","4_4_DDE","DDE",NA,"3","D","1","0","0","1","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Remove from Category 3","8"
"POPE BRANCH","4_4_DDE","DDE",NA,"4a","D","7","1","0","7","0","4","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Move to Category 3","2"
"PORTAL BRANCH","4_4_DDE","DDE",NA,"3","D","2","0","0","2","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Remove from Category 3","8"
"POTOMAC LOWER","4_4_DDE","DDE",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Not listed - take no action","15"
"POTOMAC MIDDLE","4_4_DDE","DDE",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","4_4_DDE","DDE",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Not listed - take no action","15"
"ROCK CREEK LOWER","4_4_DDE","DDE",NA,"Not Listed","none","25","2","2","24","2","24","17","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","Yes","Move to Category 5","14"
"ROCK CREEK UPPER","4_4_DDE","DDE",NA,"Not Listed","none","19","0","0","0","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Not listed - take no action","15"
"SOAPSTONE CREEK","4_4_DDE","DDE",NA,"3","D","1","0","0","1","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","4_4_DDE","DDE",NA,"4a","D","6","3","1","6","1","3","3","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No","Keep in Category 4a","5"
"TIDAL BASIN","4_4_DDE","DDE",NA,"3","D","3","0","0","3","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","4_4_DDE","DDE",NA,"3","D","19","0","0","19","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Remove from Category 3","8"
"WATTS BRANCH LOWER","4_4_DDE","DDE",NA,"3","D","7","0","0","7","0","4","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Keep in Category 3","9"
"WATTS BRANCH UPPER","4_4_DDE","DDE",NA,"3","D","24","0","0","24","0","24","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Keep in Category 3","9"
"BATTERY KEMBLE CREEK","4_4_DDE","DDE",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Not listed - take no action","15"
"C&O CANAL","4_4_DDE","DDE",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","4_4_DDE","DDE",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","4_4_DDE","DDE",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Not listed - take no action","15"
"FOUNDRY BRANCH","4_4_DDE","DDE",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","4_4_DDT","DDT",NA,"4a","D","63","6","3","63","3","27","6","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Keep in Category 4a","1"
"ANACOSTIA UPPER","4_4_DDT","DDT",NA,"4a","D","105","16","12","105","12","68","23","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Keep in Category 4a","1"
"BROAD BRANCH","4_4_DDT","DDT",NA,"Not Listed","none","25","4","3","25","3","24","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Move to Category 5","14"
"DALECARLIA TRIBUTARY","4_4_DDT","DDT",NA,"3","D","1","0","0","1","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Remove from Category 3","8"
"DUMBARTON OAKS","4_4_DDT","DDT",NA,"3","D","26","4","3","26","3","24","6","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Move to Category 5","7"
"FENWICK BRANCH","4_4_DDT","DDT",NA,"4a","D","1","1","0","1","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Move to Category 3","2"
"FORT DUPONT TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","none","24","1","1","24","1","24","20","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Move to Category 3","18"
"FORT STANTON TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","none","29","0","0","29","0","25","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Not listed - take no action","15"
"HICKEY RUN","4_4_DDT","DDT",NA,"3","D","6","0","0","6","0","3","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Keep in Category 3","9"
"KINGMAN LAKE","4_4_DDT","DDT",NA,"4a","D","25","3","2","25","2","3","10","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No","Keep in Category 4a","1"
"KLINGLE VALLEY","4_4_DDT","DDT",NA,"3","D","1","0","0","1","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Remove from Category 3","8"
"LUZON BRANCH","4_4_DDT","DDT",NA,"3","D","1","0","0","1","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDT","DDT",NA,"3","D","25","2","2","25","2","24","21","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Move to Category 5","7"
"NASH RUN","4_4_DDT","DDT",NA,"3","D","7","0","0","7","0","3","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Keep in Category 3","9"
"NORMANSTONE CREEK","4_4_DDT","DDT",NA,"Not Listed","none","1","0","0","1","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Not listed - take no action","15"
"OXON RUN","4_4_DDT","DDT",NA,"3","D","1","0","0","1","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Remove from Category 3","8"
"PINEHURST BRANCH","4_4_DDT","DDT",NA,"3","D","1","0","0","1","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Remove from Category 3","8"
"PINEY BRANCH","4_4_DDT","DDT",NA,"3","D","1","0","0","1","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Remove from Category 3","8"
"POPE BRANCH","4_4_DDT","DDT",NA,"3","D","7","0","0","7","0","4","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Keep in Category 3","9"
"PORTAL BRANCH","4_4_DDT","DDT",NA,"3","D","2","0","0","2","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Remove from Category 3","8"
"POTOMAC LOWER","4_4_DDT","DDT",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Not listed - take no action","15"
"POTOMAC MIDDLE","4_4_DDT","DDT",NA,"Not Listed","none","24","1","1","24","1","24","6","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Move to Category 3","18"
"POTOMAC UPPER","4_4_DDT","DDT",NA,"Not Listed","none","24","1","1","24","1","24","11","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Move to Category 3","18"
"ROCK CREEK LOWER","4_4_DDT","DDT",NA,"Not Listed","none","24","1","1","24","1","24","17","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Move to Category 3","18"
"ROCK CREEK UPPER","4_4_DDT","DDT",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Not listed - take no action","15"
"SOAPSTONE CREEK","4_4_DDT","DDT",NA,"3","D","1","0","0","1","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","4_4_DDT","DDT",NA,"4a","D","6","1","1","6","1","3","3","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No","Keep in Category 4a","5"
"TIDAL BASIN","4_4_DDT","DDT",NA,"3","D","3","0","0","3","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","4_4_DDT","DDT",NA,"3","D","19","0","0","19","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Remove from Category 3","8"
"WATTS BRANCH LOWER","4_4_DDT","DDT",NA,"3","D","7","0","0","7","0","4","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Keep in Category 3","9"
"WATTS BRANCH UPPER","4_4_DDT","DDT",NA,"3","D","24","0","0","24","0","24","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Keep in Category 3","9"
"BATTERY KEMBLE CREEK","4_4_DDT","DDT",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Not listed - take no action","15"
"C&O CANAL","4_4_DDT","DDT",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Not listed - take no action","15"
"FOUNDRY BRANCH","4_4_DDT","DDT",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","ACENAPHTHENE","PAH1",NA,"4a","D","63","0","0","63","0","27","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"ANACOSTIA UPPER","ACENAPHTHENE","PAH1",NA,"4a","D","56","2","0","56","0","19","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"BROAD BRANCH","ACENAPHTHENE","PAH1",NA,"Not Listed","none","25","0","0","25","0","24","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","ACENAPHTHENE","PAH1",NA,"3","D","1","0","0","1","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"DUMBARTON OAKS","ACENAPHTHENE","PAH1",NA,"3","D","26","0","0","26","0","24","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","10"
"FENWICK BRANCH","ACENAPHTHENE","PAH1",NA,"3","D","1","0","0","1","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","ACENAPHTHENE","PAH1",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","ACENAPHTHENE","PAH1",NA,"4a","D","32","0","0","32","0","28","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"HICKEY RUN","ACENAPHTHENE","PAH1",NA,"4a","D","6","2","0","6","0","3","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"KINGMAN LAKE","ACENAPHTHENE","PAH1",NA,"4a","D","25","0","0","25","0","3","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"KLINGLE VALLEY","ACENAPHTHENE","PAH1",NA,"3","D","1","0","0","1","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"LUZON BRANCH","ACENAPHTHENE","PAH1",NA,"3","D","1","0","0","1","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","ACENAPHTHENE","PAH1",NA,"3","D","25","0","0","25","0","24","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","10"
"NASH RUN","ACENAPHTHENE","PAH1",NA,"4a","D","7","2","0","7","0","3","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"NORMANSTONE CREEK","ACENAPHTHENE","PAH1",NA,"Not Listed","none","1","0","0","1","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"OXON RUN","ACENAPHTHENE","PAH1",NA,"3","D","1","0","0","1","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"PINEHURST BRANCH","ACENAPHTHENE","PAH1",NA,"3","D","1","0","0","1","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"PINEY BRANCH","ACENAPHTHENE","PAH1",NA,"3","D","1","0","0","1","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"POPE BRANCH","ACENAPHTHENE","PAH1",NA,"4a","D","7","0","0","7","0","4","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"PORTAL BRANCH","ACENAPHTHENE","PAH1",NA,"3","D","2","0","0","2","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"POTOMAC LOWER","ACENAPHTHENE","PAH1",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"POTOMAC MIDDLE","ACENAPHTHENE","PAH1",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","ACENAPHTHENE","PAH1",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"ROCK CREEK LOWER","ACENAPHTHENE","PAH1",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"ROCK CREEK UPPER","ACENAPHTHENE","PAH1",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"SOAPSTONE CREEK","ACENAPHTHENE","PAH1",NA,"3","D","1","0","0","1","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","ACENAPHTHENE","PAH1",NA,"4a","D","6","0","0","6","0","3","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"TIDAL BASIN","ACENAPHTHENE","PAH1",NA,"3","D","3","0","0","3","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","ACENAPHTHENE","PAH1",NA,"3","D","19","0","0","19","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"WATTS BRANCH LOWER","ACENAPHTHENE","PAH1",NA,"3","D","3","0","0","3","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"WATTS BRANCH UPPER","ACENAPHTHENE","PAH1",NA,"3","D","24","0","0","24","0","24","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","10"
"BATTERY KEMBLE CREEK","ACENAPHTHENE","PAH1",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"C&O CANAL","ACENAPHTHENE","PAH1",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","ACENAPHTHENE","PAH1",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","ACENAPHTHENE","PAH1",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"FOUNDRY BRANCH","ACENAPHTHENE","PAH1",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","ANTHRACENE","PAH1",NA,"4a","D","63","0","N/A - no Class C WQ criteria","63","N/A - no Class C WQ criteria","27","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"ANACOSTIA UPPER","ANTHRACENE","PAH1",NA,"4a","D","56","3","N/A - no Class C WQ criteria","56","N/A - no Class C WQ criteria","19","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"BROAD BRANCH","ANTHRACENE","PAH1",NA,"Not Listed","none","26","0","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"DALECARLIA TRIBUTARY","ANTHRACENE","PAH1",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"DUMBARTON OAKS","ANTHRACENE","PAH1",NA,"3","D","27","0","N/A - no Class C WQ criteria","26","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FENWICK BRANCH","ANTHRACENE","PAH1",NA,"3","D","2","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FORT DUPONT TRIBUTARY","ANTHRACENE","PAH1",NA,"Not Listed","none","24","0","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT STANTON TRIBUTARY","ANTHRACENE","PAH1",NA,"4a","D","32","0","N/A - no Class C WQ criteria","32","N/A - no Class C WQ criteria","28","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"HICKEY RUN","ANTHRACENE","PAH1",NA,"4a","D","6","2","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KINGMAN LAKE","ANTHRACENE","PAH1",NA,"4a","D","25","2","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KLINGLE VALLEY","ANTHRACENE","PAH1",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"LUZON BRANCH","ANTHRACENE","PAH1",NA,"3","D","3","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"MELVIN HAZEN VALLEY BRANCH","ANTHRACENE","PAH1",NA,"3","D","25","0","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"NASH RUN","ANTHRACENE","PAH1",NA,"4a","D","7","2","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"NORMANSTONE CREEK","ANTHRACENE","PAH1",NA,"Not Listed","none","2","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"OXON RUN","ANTHRACENE","PAH1",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEHURST BRANCH","ANTHRACENE","PAH1",NA,"3","D","4","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEY BRANCH","ANTHRACENE","PAH1",NA,"3","D","3","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POPE BRANCH","ANTHRACENE","PAH1",NA,"4a","D","7","0","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","4","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"PORTAL BRANCH","ANTHRACENE","PAH1",NA,"3","D","2","0","N/A - no Class C WQ criteria","2","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POTOMAC LOWER","ANTHRACENE","PAH1",NA,"Not Listed","none","24","0","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC MIDDLE","ANTHRACENE","PAH1",NA,"Not Listed","none","24","0","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC UPPER","ANTHRACENE","PAH1",NA,"Not Listed","none","24","0","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK LOWER","ANTHRACENE","PAH1",NA,"Not Listed","none","32","0","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK UPPER","ANTHRACENE","PAH1",NA,"Not Listed","none","23","4","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"SOAPSTONE CREEK","ANTHRACENE","PAH1",NA,"3","D","2","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"TEXAS AVENUE TRIBUTARY","ANTHRACENE","PAH1",NA,"4a","D","6","1","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"TIDAL BASIN","ANTHRACENE","PAH1",NA,"3","D","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WASHINGTON SHIP CHANNEL","ANTHRACENE","PAH1",NA,"3","D","19","1","N/A - no Class C WQ criteria","19","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH LOWER","ANTHRACENE","PAH1",NA,"3","D","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH UPPER","ANTHRACENE","PAH1",NA,"3","D","24","0","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"BATTERY KEMBLE CREEK","ANTHRACENE","PAH1",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"C&O CANAL","ANTHRACENE","PAH1",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT CHAPLIN TRIBUTARY","ANTHRACENE","PAH1",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT DAVIS TRIBUTARY","ANTHRACENE","PAH1",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FOUNDRY BRANCH","ANTHRACENE","PAH1",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
