"waterbody_segment","pollutant_name","pollutant_group","test_fraction","current_category","number_of_unique_days_sampled","number_of_samples_1990_to_2021","number_of_detects_1990_to_2021","n_d_exceedance_1990_to_2021","number_of_samples_2011_to_2021","n_d_exceedance_2011_to_2021","number_of_samples_2016_to_2021","n_d_exceedance_2016_to_2021","number_of_samples_since_last_class_d_exceedance","d_criterion","d_dl_ratio_range","was_last_d_exceedance_within_5_year_period","tidal_type","decision_description","decision_case_number"
"WASHINGTON SHIP CHANNEL","ZINC","ZINC","TOTAL","Not Listed","30","42","19","0 (D)","16","0","12","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Tidal","Take no action","15"
"WATTS BRANCH LOWER","ZINC","ZINC","TOTAL","Not Listed","26","26","17","0 (D)","3","0","3","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Take no action","15"
"WATTS BRANCH UPPER","ZINC","ZINC","TOTAL","Not Listed","38","63","46","0 (D)","13","0","13","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Take no action","15"
"BATTERY KEMBLE CREEK","ZINC","ZINC","TOTAL","3","27","27","9","0 (D)","1","0","0",NA,"0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Remove from Category 3","8"
"C&O CANAL","ZINC","ZINC","TOTAL","Not Listed","26","46","13","0 (D)","0","0","0",NA,"0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Take no action","15"
"FORT CHAPLIN TRIBUTARY","ZINC","ZINC","TOTAL","Not Listed","27","27","20","0 (D)","6","0","3","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Take no action","15"
"FORT DAVIS TRIBUTARY","ZINC","ZINC","TOTAL","Not Listed","30","30","27","0 (D)","6","0","3","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Take no action","15"
"FOUNDRY BRANCH","ZINC","ZINC","TOTAL","Not Listed","9","10","10","0 (D)","2","0","0",NA,"0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Take no action","15"
"ANACOSTIA LOWER","4_4_DDD","DDD",NA,"4a","24","52","3","3 (D)","52","3","40","2","13 (D)","1.2E-4","1.67 - 43.3","Yes","Tidal","Keep in in Category 4a","1"
"ANACOSTIA UPPER","4_4_DDD","DDD",NA,"4a","17","105","21","21 (D)","105","21","86","21","0 (D)","1.2E-4","1.67 - 43.3","Yes","Tidal","Keep in in Category 4a","1"
"BROAD BRANCH","4_4_DDD","DDD",NA,"Not Listed","14","14","0","0 (D)","14","0","13","0","0 (D)","1.2E-4","1.67 - 43.3",NA,"Non-tidal","Take no action","15"
"DALECARLIA TRIBUTARY","4_4_DDD","DDD",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2E-4","1.67 - 43.3",NA,"Non-tidal","Remove from Category 3","8"
"DUMBARTON OAKS","4_4_DDD","DDD",NA,"3","14","15","0","0 (D)","15","0","13","0","0 (D)","1.2E-4","1.67 - 43.3",NA,"Non-tidal","Keep in in Category 3","9"
"FENWICK BRANCH","4_4_DDD","DDD",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2E-4","1.67 - 43.3",NA,"Non-tidal","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","1.2E-4","1.67 - 43.3",NA,"Non-tidal","Take no action","15"
"FORT STANTON TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","16","17","1","1 (D)","17","1","13","1","11 (D)","1.2E-4","1.67 - 43.3","Yes","Non-tidal","Move to Category 5","14"
"HICKEY RUN","4_4_DDD","DDD",NA,"3","5","6","0","0 (D)","6","0","3","0","0 (D)","1.2E-4","1.67 - 43.3",NA,"Non-tidal","Keep in in Category 3","9"
"KINGMAN LAKE","4_4_DDD","DDD",NA,"3","13","25","3","3 (D)","25","3","15","2","0 (D)","1.2E-4","1.67 - 43.3","Yes","Tidal","Move to Category 5","7"
"KLINGLE VALLEY","4_4_DDD","DDD",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2E-4","1.67 - 43.3",NA,"Non-tidal","Remove from Category 3","8"
"LUZON BRANCH","4_4_DDD","DDD",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2E-4","1.67 - 43.3",NA,"Non-tidal","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDD","DDD",NA,"3","14","14","1","1 (D)","14","1","13","1","9 (D)","1.2E-4","1.67 - 43.3","Yes","Non-tidal","Move to Category 5","7"
"NASH RUN","4_4_DDD","DDD",NA,"3","6","7","0","0 (D)","7","0","3","0","0 (D)","1.2E-4","1.67 - 43.3",NA,"Non-tidal","Keep in in Category 3","9"
"NORMANSTONE CREEK","4_4_DDD","DDD",NA,"Not Listed","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2E-4","1.67 - 43.3",NA,"Non-tidal","Take no action","15"
"OXON RUN","4_4_DDD","DDD",NA,"Not Listed","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2E-4","1.67 - 43.3",NA,"Non-tidal","Take no action","15"
"PINEHURST BRANCH","4_4_DDD","DDD",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2E-4","1.67 - 43.3",NA,"Non-tidal","Remove from Category 3","8"
"PINEY BRANCH","4_4_DDD","DDD",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2E-4","1.67 - 43.3",NA,"Non-tidal","Remove from Category 3","8"
"POPE BRANCH","4_4_DDD","DDD",NA,"3","6","7","0","0 (D)","7","0","4","0","0 (D)","1.2E-4","1.67 - 43.3",NA,"Non-tidal","Keep in in Category 3","9"
"PORTAL BRANCH","4_4_DDD","DDD",NA,"3","1","2","0","0 (D)","2","0","0",NA,"0 (D)","1.2E-4","1.67 - 43.3",NA,"Non-tidal","Remove from Category 3","8"
"POTOMAC LOWER","4_4_DDD","DDD",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","1.2E-4","1.67 - 43.3",NA,"Tidal","Take no action","15"
"POTOMAC MIDDLE","4_4_DDD","DDD",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","1.2E-4","1.67 - 43.3",NA,"Tidal","Take no action","15"
"POTOMAC UPPER","4_4_DDD","DDD",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","1.2E-4","1.67 - 43.3",NA,"Tidal","Take no action","15"
"ROCK CREEK LOWER","4_4_DDD","DDD",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","6 (D)","1.2E-4","1.67 - 43.3","Yes","Non-tidal","Move to Category 5","14"
"SOAPSTONE CREEK","4_4_DDD","DDD",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2E-4","1.67 - 43.3",NA,"Non-tidal","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","4_4_DDD","DDD",NA,"4a","6","6","6","6 (D)","6","6","3","3","0 (D)","1.2E-4","1.67 - 43.3","Yes","Non-tidal","Keep in in Category 4a","1"
"TIDAL BASIN","4_4_DDD","DDD",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","1.2E-4","1.67 - 43.3",NA,"Tidal","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","4_4_DDD","DDD",NA,"3","7","19","0","0 (D)","19","0","12","0","0 (D)","1.2E-4","1.67 - 43.3",NA,"Tidal","Keep in in Category 3","9"
"WATTS BRANCH LOWER","4_4_DDD","DDD",NA,"3","6","7","0","0 (D)","7","0","4","0","0 (D)","1.2E-4","1.67 - 43.3",NA,"Non-tidal","Keep in in Category 3","9"
"WATTS BRANCH UPPER","4_4_DDD","DDD",NA,"3","13","13","1","1 (D)","13","1","13","1","1 (D)","1.2E-4","1.67 - 43.3","Yes","Non-tidal","Move to Category 5","7"
"ANACOSTIA LOWER","4_4_DDE","DDE",NA,"4a","24","52","0","0 (D)","52","0","40","0","0 (D)","1.8E-5","5.56 - 333",NA,"Tidal","Move to Category 3","2"
"ANACOSTIA UPPER","4_4_DDE","DDE",NA,"4a","17","105","1","1 (D)","105","1","86","1","54 (D)","1.8E-5","5.56 - 333","Yes","Tidal","Keep in in Category 4a","1"
"BROAD BRANCH","4_4_DDE","DDE",NA,"Not Listed","14","14","0","0 (D)","14","0","13","0","0 (D)","1.8E-5","5.56 - 333",NA,"Non-tidal","Take no action","15"
"DALECARLIA TRIBUTARY","4_4_DDE","DDE",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.8E-5","5.56 - 333",NA,"Non-tidal","Remove from Category 3","8"
"DUMBARTON OAKS","4_4_DDE","DDE",NA,"3","14","15","1","1 (D)","15","1","13","1","10 (D)","1.8E-5","5.56 - 333","Yes","Non-tidal","Move to Category 5","7"
"FENWICK BRANCH","4_4_DDE","DDE",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.8E-5","5.56 - 333",NA,"Non-tidal","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","4_4_DDE","DDE",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","1.8E-5","5.56 - 333",NA,"Non-tidal","Take no action","15"
"FORT STANTON TRIBUTARY","4_4_DDE","DDE",NA,"Not Listed","16","17","1","1 (D)","17","1","13","1","6 (D)","1.8E-5","5.56 - 333","Yes","Non-tidal","Move to Category 5","14"
"HICKEY RUN","4_4_DDE","DDE",NA,"4a","5","6","1","1 (D)","6","1","3","0","3 (D)","1.8E-5","5.56 - 333","No","Non-tidal","Keep in in Category 4a","1"
"KINGMAN LAKE","4_4_DDE","DDE",NA,"3","13","25","0","0 (D)","25","0","15","0","0 (D)","1.8E-5","5.56 - 333",NA,"Tidal","Keep in in Category 3","9"
"KLINGLE VALLEY","4_4_DDE","DDE",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.8E-5","5.56 - 333",NA,"Non-tidal","Remove from Category 3","8"
"LUZON BRANCH","4_4_DDE","DDE",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.8E-5","5.56 - 333",NA,"Non-tidal","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDE","DDE",NA,"3","14","14","1","1 (D)","14","1","13","1","9 (D)","1.8E-5","5.56 - 333","Yes","Non-tidal","Move to Category 5","7"
"NASH RUN","4_4_DDE","DDE",NA,"3","6","7","0","0 (D)","7","0","3","0","0 (D)","1.8E-5","5.56 - 333",NA,"Non-tidal","Keep in in Category 3","9"
"NORMANSTONE CREEK","4_4_DDE","DDE",NA,"Not Listed","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.8E-5","5.56 - 333",NA,"Non-tidal","Take no action","15"
"OXON RUN","4_4_DDE","DDE",NA,"Not Listed","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.8E-5","5.56 - 333",NA,"Non-tidal","Take no action","15"
"PINEHURST BRANCH","4_4_DDE","DDE",NA,"3","2","2","0","0 (D)","1","0","0",NA,"0 (D)","1.8E-5","5.56 - 333",NA,"Non-tidal","Remove from Category 3","8"
"PINEY BRANCH","4_4_DDE","DDE",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.8E-5","5.56 - 333",NA,"Non-tidal","Remove from Category 3","8"
"POPE BRANCH","4_4_DDE","DDE",NA,"4a","6","7","1","1 (D)","7","1","4","0","4 (D)","1.8E-5","5.56 - 333","No","Non-tidal","Keep in in Category 4a","1"
"PORTAL BRANCH","4_4_DDE","DDE",NA,"3","1","2","0","0 (D)","2","0","0",NA,"0 (D)","1.8E-5","5.56 - 333",NA,"Non-tidal","Remove from Category 3","8"
"POTOMAC LOWER","4_4_DDE","DDE",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","1.8E-5","5.56 - 333",NA,"Tidal","Take no action","15"
"POTOMAC MIDDLE","4_4_DDE","DDE",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","1.8E-5","5.56 - 333",NA,"Tidal","Take no action","15"
"POTOMAC UPPER","4_4_DDE","DDE",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","1.8E-5","5.56 - 333",NA,"Tidal","Take no action","15"
"ROCK CREEK LOWER","4_4_DDE","DDE",NA,"Not Listed","14","14","2","2 (D)","13","2","13","2","6 (D)","1.8E-5","5.56 - 333","Yes","Non-tidal","Move to Category 5","14"
"ROCK CREEK UPPER","4_4_DDE","DDE",NA,"Not Listed","18","19","0","0 (D)","0","0","0",NA,"0 (D)","1.8E-5","5.56 - 333",NA,"Non-tidal","Take no action","15"
"SOAPSTONE CREEK","4_4_DDE","DDE",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.8E-5","5.56 - 333",NA,"Non-tidal","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","4_4_DDE","DDE",NA,"4a","6","6","3","3 (D)","6","3","3","1","0 (D)","1.8E-5","5.56 - 333","Yes","Non-tidal","Keep in in Category 4a","1"
"TIDAL BASIN","4_4_DDE","DDE",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","1.8E-5","5.56 - 333",NA,"Tidal","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","4_4_DDE","DDE",NA,"3","7","19","0","0 (D)","19","0","12","0","0 (D)","1.8E-5","5.56 - 333",NA,"Tidal","Keep in in Category 3","9"
"WATTS BRANCH LOWER","4_4_DDE","DDE",NA,"3","6","7","0","0 (D)","7","0","4","0","0 (D)","1.8E-5","5.56 - 333",NA,"Non-tidal","Keep in in Category 3","9"
"WATTS BRANCH UPPER","4_4_DDE","DDE",NA,"3","13","13","0","0 (D)","13","0","13","0","0 (D)","1.8E-5","5.56 - 333",NA,"Non-tidal","Keep in in Category 3","9"
"ANACOSTIA LOWER","4_4_DDT","DDT",NA,"4a","24","52","5","5 (D)","52","5","40","5","0 (D)","3.0000000000000001E-5","9.33 - 123","Yes","Tidal","Keep in in Category 4a","1"
"ANACOSTIA UPPER","4_4_DDT","DDT",NA,"4a","17","105","16","16 (D)","105","16","86","11","23 (D)","3.0000000000000001E-5","9.33 - 123","Yes","Tidal","Keep in in Category 4a","1"
"BROAD BRANCH","4_4_DDT","DDT",NA,"Not Listed","14","14","2","2 (D)","14","2","13","2","3 (D)","3.0000000000000001E-5","9.33 - 123","Yes","Non-tidal","Move to Category 5","14"
"DALECARLIA TRIBUTARY","4_4_DDT","DDT",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","3.0000000000000001E-5","9.33 - 123",NA,"Non-tidal","Remove from Category 3","8"
"DUMBARTON OAKS","4_4_DDT","DDT",NA,"3","14","15","3","3 (D)","15","3","13","3","9 (D)","3.0000000000000001E-5","9.33 - 123","Yes","Non-tidal","Move to Category 5","7"
"FENWICK BRANCH","4_4_DDT","DDT",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","3.0000000000000001E-5","9.33 - 123","No","Non-tidal","Keep in in Category 4a","1"
"FORT DUPONT TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","9 (D)","3.0000000000000001E-5","9.33 - 123","Yes","Non-tidal","Move to Category 5","14"
"FORT STANTON TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","16","17","0","0 (D)","17","0","13","0","0 (D)","3.0000000000000001E-5","9.33 - 123",NA,"Non-tidal","Take no action","15"
"HICKEY RUN","4_4_DDT","DDT",NA,"3","5","6","0","0 (D)","6","0","3","0","0 (D)","3.0000000000000001E-5","9.33 - 123",NA,"Non-tidal","Keep in in Category 3","9"
"KINGMAN LAKE","4_4_DDT","DDT",NA,"3","13","25","3","3 (D)","25","3","15","2","3 (D)","3.0000000000000001E-5","9.33 - 123","Yes","Tidal","Move to Category 5","7"
"KLINGLE VALLEY","4_4_DDT","DDT",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","3.0000000000000001E-5","9.33 - 123",NA,"Non-tidal","Remove from Category 3","8"
"LUZON BRANCH","4_4_DDT","DDT",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","3.0000000000000001E-5","9.33 - 123",NA,"Non-tidal","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDT","DDT",NA,"3","14","14","2","2 (D)","14","2","13","2","10 (D)","3.0000000000000001E-5","9.33 - 123","Yes","Non-tidal","Move to Category 5","7"
"NASH RUN","4_4_DDT","DDT",NA,"3","6","7","0","0 (D)","7","0","3","0","0 (D)","3.0000000000000001E-5","9.33 - 123",NA,"Non-tidal","Keep in in Category 3","9"
"NORMANSTONE CREEK","4_4_DDT","DDT",NA,"Not Listed","1","1","0","0 (D)","1","0","0",NA,"0 (D)","3.0000000000000001E-5","9.33 - 123",NA,"Non-tidal","Take no action","15"
"OXON RUN","4_4_DDT","DDT",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","3.0000000000000001E-5","9.33 - 123",NA,"Non-tidal","Remove from Category 3","8"
"PINEHURST BRANCH","4_4_DDT","DDT",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","3.0000000000000001E-5","9.33 - 123",NA,"Non-tidal","Remove from Category 3","8"
"PINEY BRANCH","4_4_DDT","DDT",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","3.0000000000000001E-5","9.33 - 123",NA,"Non-tidal","Remove from Category 3","8"
"POPE BRANCH","4_4_DDT","DDT",NA,"3","6","7","0","0 (D)","7","0","4","0","0 (D)","3.0000000000000001E-5","9.33 - 123",NA,"Non-tidal","Keep in in Category 3","9"
"PORTAL BRANCH","4_4_DDT","DDT",NA,"3","1","2","0","0 (D)","2","0","0",NA,"0 (D)","3.0000000000000001E-5","9.33 - 123",NA,"Non-tidal","Remove from Category 3","8"
"POTOMAC LOWER","4_4_DDT","DDT",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","3.0000000000000001E-5","9.33 - 123",NA,"Tidal","Take no action","15"
"POTOMAC MIDDLE","4_4_DDT","DDT",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","3.0000000000000001E-5","9.33 - 123",NA,"Tidal","Take no action","15"
"POTOMAC UPPER","4_4_DDT","DDT",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","0 (D)","3.0000000000000001E-5","9.33 - 123","Yes","Tidal","Move to Category 5","14"
"ROCK CREEK LOWER","4_4_DDT","DDT",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","6 (D)","3.0000000000000001E-5","9.33 - 123","Yes","Non-tidal","Move to Category 5","14"
"SOAPSTONE CREEK","4_4_DDT","DDT",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","3.0000000000000001E-5","9.33 - 123",NA,"Non-tidal","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","4_4_DDT","DDT",NA,"4a","6","6","1","1 (D)","6","1","3","0","3 (D)","3.0000000000000001E-5","9.33 - 123","No","Non-tidal","Keep in in Category 4a","1"
"TIDAL BASIN","4_4_DDT","DDT",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","3.0000000000000001E-5","9.33 - 123",NA,"Tidal","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","4_4_DDT","DDT",NA,"3","7","19","0","0 (D)","19","0","12","0","0 (D)","3.0000000000000001E-5","9.33 - 123",NA,"Tidal","Keep in in Category 3","9"
"WATTS BRANCH LOWER","4_4_DDT","DDT",NA,"3","6","7","0","0 (D)","7","0","4","0","0 (D)","3.0000000000000001E-5","9.33 - 123",NA,"Non-tidal","Keep in in Category 3","9"
"WATTS BRANCH UPPER","4_4_DDT","DDT",NA,"3","13","13","0","0 (D)","13","0","13","0","0 (D)","3.0000000000000001E-5","9.33 - 123",NA,"Non-tidal","Keep in in Category 3","9"
"ANACOSTIA LOWER","ACENAPHTHENE","PAH1",NA,"4a","24","52","0","0 (D)","52","0","40","0","0 (D)","90","0.000156 - 0.000789",NA,"Tidal","Remove from Category 4a","3"
"ANACOSTIA UPPER","ACENAPHTHENE","PAH1",NA,"4a","14","56","2","0 (D)","56","0","37","0","0 (D)","90","0.000156 - 0.000789",NA,"Tidal","Remove from Category 4a","3"
"BROAD BRANCH","ACENAPHTHENE","PAH1",NA,"Not Listed","14","14","0","0 (D)","14","0","13","0","0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Take no action","15"
"DALECARLIA TRIBUTARY","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Remove from Category 3","8"
"DUMBARTON OAKS","ACENAPHTHENE","PAH1",NA,"3","14","15","0","0 (D)","15","0","13","0","0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Remove from Category 3","10"
"FENWICK BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Take no action","15"
"FORT STANTON TRIBUTARY","ACENAPHTHENE","PAH1",NA,"4a","19","20","0","0 (D)","20","0","16","0","0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Remove from Category 4a","3"
"HICKEY RUN","ACENAPHTHENE","PAH1",NA,"4a","5","6","2","0 (D)","6","0","3","0","0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Remove from Category 4a","3"
"KINGMAN LAKE","ACENAPHTHENE","PAH1",NA,"4a","13","25","0","0 (D)","25","0","15","0","0 (D)","90","0.000156 - 0.000789",NA,"Tidal","Remove from Category 4a","3"
"KLINGLE VALLEY","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Remove from Category 3","8"
"LUZON BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","ACENAPHTHENE","PAH1",NA,"3","14","14","0","0 (D)","14","0","13","0","0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Remove from Category 3","10"
"NASH RUN","ACENAPHTHENE","PAH1",NA,"4a","6","7","2","0 (D)","7","0","3","0","0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Remove from Category 4a","3"
"NORMANSTONE CREEK","ACENAPHTHENE","PAH1",NA,"Not Listed","1","1","0","0 (D)","1","0","0",NA,"0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Take no action","15"
"OXON RUN","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Remove from Category 3","8"
"PINEHURST BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Remove from Category 3","8"
"PINEY BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Remove from Category 3","8"
"POPE BRANCH","ACENAPHTHENE","PAH1",NA,"4a","6","7","0","0 (D)","7","0","4","0","0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Remove from Category 4a","3"
"PORTAL BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","2","0","0 (D)","2","0","0",NA,"0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Remove from Category 3","8"
"POTOMAC LOWER","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","90","0.000156 - 0.000789",NA,"Tidal","Take no action","15"
"POTOMAC MIDDLE","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","90","0.000156 - 0.000789",NA,"Tidal","Take no action","15"
"POTOMAC UPPER","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","90","0.000156 - 0.000789",NA,"Tidal","Take no action","15"
"ROCK CREEK LOWER","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Take no action","15"
"SOAPSTONE CREEK","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","ACENAPHTHENE","PAH1",NA,"4a","6","6","0","0 (D)","6","0","3","0","0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Remove from Category 4a","3"
"TIDAL BASIN","ACENAPHTHENE","PAH1",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","90","0.000156 - 0.000789",NA,"Tidal","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","ACENAPHTHENE","PAH1",NA,"3","7","19","0","0 (D)","19","0","12","0","0 (D)","90","0.000156 - 0.000789",NA,"Tidal","Remove from Category 3","10"
"WATTS BRANCH LOWER","ACENAPHTHENE","PAH1",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Remove from Category 3","8"
"WATTS BRANCH UPPER","ACENAPHTHENE","PAH1",NA,"3","13","13","0","0 (D)","13","0","13","0","0 (D)","90","0.000156 - 0.000789",NA,"Non-tidal","Remove from Category 3","10"
"ANACOSTIA LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"4a","24","52","2","2 (D)","52","2","40","2","18 (D)","1.2999999999999999E-3","10.8 - 63.1","Yes","Tidal","Keep in in Category 4a","1"
"ANACOSTIA UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"4a","14","56","5","5 (D)","56","5","37","2","28 (D)","1.2999999999999999E-3","10.8 - 63.1","Yes","Tidal","Keep in in Category 4a","1"
"BROAD BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","14","14","0","0 (D)","14","0","13","0","0 (D)","1.2999999999999999E-3","10.8 - 63.1",NA,"Non-tidal","Take no action","15"
"DALECARLIA TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-3","10.8 - 63.1",NA,"Non-tidal","Remove from Category 3","8"
"DUMBARTON OAKS","BENZO_A_ANTHRACENE","PAH2",NA,"3","14","15","0","0 (D)","15","0","13","0","0 (D)","1.2999999999999999E-3","10.8 - 63.1",NA,"Non-tidal","Keep in in Category 3","9"
"FENWICK BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-3","10.8 - 63.1",NA,"Non-tidal","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","1.2999999999999999E-3","10.8 - 63.1",NA,"Non-tidal","Take no action","15"
"FORT STANTON TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"4a","19","20","1","1 (D)","20","1","16","0","16 (D)","1.2999999999999999E-3","10.8 - 63.1","No","Non-tidal","Keep in in Category 4a","1"
