"waterbody_segment","pollutant_name","pollutant_group","test_fraction","current_category","number_of_unique_days_sampled","number_of_samples_1990_to_2021","number_of_detects_1990_to_2021","n_d_exceedance_1990_to_2021","number_of_samples_2011_to_2021","n_d_exceedance_2011_to_2021","number_of_samples_2016_to_2021","number_of_samples_since_last_class_d_exceedance","d_criterion","d_dl_ratio_range","was_last_d_exceedance_within_5_year_period","fish_tissue_results_class_d","decision_description","decision_case_number","updated_tmdl"
"MELVIN HAZEN VALLEY BRANCH","ZINC","ZINC","TOTAL","3","23","23","7","0","13","0","13","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Remove from Category 3","10","No"
"NASH RUN","ZINC","ZINC","TOTAL","3","15","16","15","0","7","0","3","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Remove from Category 3","10","No"
"NORMANSTONE CREEK","ZINC","ZINC","TOTAL","Not Listed","10","10","0","0","0","0","0","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Take no action","15","No"
"OXON RUN","ZINC","ZINC","TOTAL","3","21","21","14","0","1","0","0","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEHURST BRANCH","ZINC","ZINC","TOTAL","3","10","10","1","0","0","0","0","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEY BRANCH","ZINC","ZINC","TOTAL","3","11","11","2","0","1","0","0","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Remove from Category 3","8","No"
"POPE BRANCH","ZINC","ZINC","TOTAL","3","8","8","3","0","1","0","1","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Remove from Category 3","10","No"
"PORTAL BRANCH","ZINC","ZINC","TOTAL","3","10","10","6","0","0","0","0","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Remove from Category 3","8","No"
"POTOMAC LOWER","ZINC","ZINC","TOTAL","Not Listed","65","108","33","0","13","0","13","0","26000","0.0000846 - 0.000769",NA,"No exceedances","Take no action","15","No"
"POTOMAC MIDDLE","ZINC","ZINC","TOTAL","Not Listed","40","53","15","0","13","0","13","0","26000","0.0000846 - 0.000769",NA,"No exceedances","Take no action","15","No"
"POTOMAC UPPER","ZINC","ZINC","TOTAL","Not Listed","30","30","11","0","13","0","13","0","26000","0.0000846 - 0.000769",NA,"No exceedances","Take no action","15","No"
"ROCK CREEK LOWER","ZINC","ZINC","TOTAL","4a","43","43","22","0","13","0","13","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Remove from Category 4a","3","No"
"ROCK CREEK UPPER","ZINC","ZINC","TOTAL","Not Listed","32","32","9","0","0","0","0","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Take no action","15","No"
"SOAPSTONE CREEK","ZINC","ZINC","TOTAL","3","10","10","1","0","0","0","0","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","ZINC","ZINC","TOTAL","Not Listed","27","27","26","0","6","0","3","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Take no action","15","No"
"TIDAL BASIN","ZINC","ZINC","TOTAL","Not Listed","33","33","13","0","0","0","0","0","26000","0.0000846 - 0.000769",NA,"No exceedances","Take no action","15","No"
"WASHINGTON SHIP CHANNEL","ZINC","ZINC","TOTAL","Not Listed","30","42","19","0","16","0","12","0","26000","0.0000846 - 0.000769",NA,"No exceedances","Take no action","15","No"
"WATTS BRANCH LOWER","ZINC","ZINC","TOTAL","Not Listed","26","26","17","0","3","0","3","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Take no action","15","No"
"WATTS BRANCH UPPER","ZINC","ZINC","TOTAL","Not Listed","38","63","46","0","13","0","13","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Take no action","15","No"
"BATTERY KEMBLE CREEK","ZINC","ZINC","TOTAL","3","27","27","9","0","1","0","0","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Remove from Category 3","8","No"
"C&O CANAL","ZINC","ZINC","TOTAL","Not Listed","26","46","13","0","0","0","0","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Take no action","15","No"
"FORT CHAPLIN TRIBUTARY","ZINC","ZINC","TOTAL","Not Listed","27","27","20","0","6","0","3","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Take no action","15","No"
"FORT DAVIS TRIBUTARY","ZINC","ZINC","TOTAL","Not Listed","30","30","27","0","6","0","3","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Take no action","15","No"
"FOUNDRY BRANCH","ZINC","ZINC","TOTAL","Not Listed","9","10","10","0","2","0","0","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Take no action","15","No"
"ANACOSTIA LOWER","4_4_DDD","DDD",NA,"4a","24","52","3","3","52","3","40","13","0.00012","1.67 - 43.3","Yes","No exceedances","Keep in in Category 4a","1","Yes"
"ANACOSTIA UPPER","4_4_DDD","DDD",NA,"4a","17","105","21","21","105","21","86","0","0.00012","1.67 - 43.3","Yes","No exceedances","Keep in in Category 4a","1","Yes"
"BROAD BRANCH","4_4_DDD","DDD",NA,"Not Listed","14","14","0","0","14","0","13","0","0.00012","1.67 - 43.3",NA,"NA - not sampled","Take no action","15","No"
"DALECARLIA TRIBUTARY","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","0","0.00012","1.67 - 43.3",NA,"NA - not sampled","Remove from Category 3","8","No"
"DUMBARTON OAKS","4_4_DDD","DDD",NA,"3","14","15","0","0","15","0","13","0","0.00012","1.67 - 43.3",NA,"NA - not sampled","Keep in in Category 3","9","No"
"FENWICK BRANCH","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","0","0.00012","1.67 - 43.3",NA,"NA - not sampled","Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","13","13","0","0","13","0","13","0","0.00012","1.67 - 43.3",NA,"NA - not sampled","Take no action","15","No"
"FORT STANTON TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","16","17","1","1","17","1","13","11","0.00012","1.67 - 43.3","Yes","NA - not sampled","Move to Category 3","18","No"
"HICKEY RUN","4_4_DDD","DDD",NA,"3","5","6","0","0","6","0","3","0","0.00012","1.67 - 43.3",NA,"NA - not sampled","Keep in in Category 3","9","No"
"KINGMAN LAKE","4_4_DDD","DDD",NA,"3","13","25","3","3","25","3","15","0","0.00012","1.67 - 43.3","Yes","No exceedances","Move to Category 5","7","No"
"KLINGLE VALLEY","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","0","0.00012","1.67 - 43.3",NA,"NA - not sampled","Remove from Category 3","8","No"
"LUZON BRANCH","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","0","0.00012","1.67 - 43.3",NA,"NA - not sampled","Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDD","DDD",NA,"3","14","14","1","1","14","1","13","9","0.00012","1.67 - 43.3","Yes","NA - not sampled","Keep in in Category 3","12","No"
"NASH RUN","4_4_DDD","DDD",NA,"3","6","7","0","0","7","0","3","0","0.00012","1.67 - 43.3",NA,"NA - not sampled","Keep in in Category 3","9","No"
"NORMANSTONE CREEK","4_4_DDD","DDD",NA,"Not Listed","1","1","0","0","1","0","0","0","0.00012","1.67 - 43.3",NA,"NA - not sampled","Take no action","15","No"
"OXON RUN","4_4_DDD","DDD",NA,"Not Listed","1","1","0","0","1","0","0","0","0.00012","1.67 - 43.3",NA,"NA - not sampled","Take no action","15","No"
"PINEHURST BRANCH","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","0","0.00012","1.67 - 43.3",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEY BRANCH","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","0","0.00012","1.67 - 43.3",NA,"NA - not sampled","Remove from Category 3","8","No"
"POPE BRANCH","4_4_DDD","DDD",NA,"3","6","7","0","0","7","0","4","0","0.00012","1.67 - 43.3",NA,"NA - not sampled","Keep in in Category 3","9","No"
"PORTAL BRANCH","4_4_DDD","DDD",NA,"3","1","2","0","0","2","0","0","0","0.00012","1.67 - 43.3",NA,"NA - not sampled","Remove from Category 3","8","No"
"POTOMAC LOWER","4_4_DDD","DDD",NA,"Not Listed","13","13","0","0","13","0","13","0","0.00012","1.67 - 43.3",NA,"No exceedances","Take no action","15","No"
"POTOMAC MIDDLE","4_4_DDD","DDD",NA,"Not Listed","13","13","0","0","13","0","13","0","0.00012","1.67 - 43.3",NA,"No exceedances","Take no action","15","No"
"POTOMAC UPPER","4_4_DDD","DDD",NA,"Not Listed","13","13","0","0","13","0","13","0","0.00012","1.67 - 43.3",NA,"No exceedances","Take no action","15","No"
"ROCK CREEK LOWER","4_4_DDD","DDD",NA,"Not Listed","13","13","1","1","13","1","13","6","0.00012","1.67 - 43.3","Yes","NA - not sampled","Move to Category 3","18","No"
"ROCK CREEK UPPER","4_4_DDD","DDD",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00012","1.67 - 43.3",NA,"NA - not sampled","Take no action","15","No"
"SOAPSTONE CREEK","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","0","0.00012","1.67 - 43.3",NA,"NA - not sampled","Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","4_4_DDD","DDD",NA,"4a","6","6","6","6","6","6","3","0","0.00012","1.67 - 43.3","Yes","NA - not sampled","Keep in in Category 4a","1","Yes"
"TIDAL BASIN","4_4_DDD","DDD",NA,"3","3","3","0","0","3","0","0","0","0.00012","1.67 - 43.3",NA,"No exceedances","Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","4_4_DDD","DDD",NA,"3","7","19","0","0","19","0","12","0","0.00012","1.67 - 43.3",NA,"No exceedances","Keep in in Category 3","9","No"
"WATTS BRANCH LOWER","4_4_DDD","DDD",NA,"3","6","7","0","0","7","0","4","0","0.00012","1.67 - 43.3",NA,"NA - not sampled","Keep in in Category 3","9","No"
"WATTS BRANCH UPPER","4_4_DDD","DDD",NA,"3","13","13","1","1","13","1","13","1","0.00012","1.67 - 43.3","Yes","NA - not sampled","Keep in in Category 3","12","No"
"BATTERY KEMBLE CREEK","4_4_DDD","DDD",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00012","1.67 - 43.3",NA,"NA - not sampled","Take no action","15","No"
"C&O CANAL","4_4_DDD","DDD",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00012","1.67 - 43.3",NA,"NA - not sampled","Take no action","15","No"
"FORT CHAPLIN TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00012","1.67 - 43.3",NA,"NA - not sampled","Take no action","15","No"
"FORT DAVIS TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00012","1.67 - 43.3",NA,"NA - not sampled","Take no action","15","No"
"FOUNDRY BRANCH","4_4_DDD","DDD",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00012","1.67 - 43.3",NA,"NA - not sampled","Take no action","15","No"
"ANACOSTIA LOWER","4_4_DDE","DDE",NA,"4a","24","52","0","0","52","0","40","0","1.8e-05","5.56 - 333",NA,"No exceedances","Move to Category 3","2","Yes"
"ANACOSTIA UPPER","4_4_DDE","DDE",NA,"4a","17","105","1","1","105","1","86","54","1.8e-05","5.56 - 333","Yes","No exceedances","Keep in in Category 4a","5","Yes"
"BROAD BRANCH","4_4_DDE","DDE",NA,"Not Listed","14","14","0","0","14","0","13","0","1.8e-05","5.56 - 333",NA,"NA - not sampled","Take no action","15","No"
"DALECARLIA TRIBUTARY","4_4_DDE","DDE",NA,"3","1","1","0","0","1","0","0","0","1.8e-05","5.56 - 333",NA,"NA - not sampled","Remove from Category 3","8","No"
"DUMBARTON OAKS","4_4_DDE","DDE",NA,"3","14","15","1","1","15","1","13","10","1.8e-05","5.56 - 333","Yes","NA - not sampled","Keep in in Category 3","12","No"
"FENWICK BRANCH","4_4_DDE","DDE",NA,"3","1","1","0","0","1","0","0","0","1.8e-05","5.56 - 333",NA,"NA - not sampled","Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","4_4_DDE","DDE",NA,"Not Listed","13","13","0","0","13","0","13","0","1.8e-05","5.56 - 333",NA,"NA - not sampled","Take no action","15","No"
"FORT STANTON TRIBUTARY","4_4_DDE","DDE",NA,"Not Listed","16","17","1","1","17","1","13","6","1.8e-05","5.56 - 333","Yes","NA - not sampled","Move to Category 3","18","No"
"HICKEY RUN","4_4_DDE","DDE",NA,"4a","5","6","1","1","6","1","3","3","1.8e-05","5.56 - 333","No","NA - not sampled","Keep in in Category 4a","5","Yes"
"KINGMAN LAKE","4_4_DDE","DDE",NA,"3","13","25","0","0","25","0","15","0","1.8e-05","5.56 - 333",NA,"No exceedances","Keep in in Category 3","9","No"
"KLINGLE VALLEY","4_4_DDE","DDE",NA,"3","1","1","0","0","1","0","0","0","1.8e-05","5.56 - 333",NA,"NA - not sampled","Remove from Category 3","8","No"
"LUZON BRANCH","4_4_DDE","DDE",NA,"3","1","1","0","0","1","0","0","0","1.8e-05","5.56 - 333",NA,"NA - not sampled","Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDE","DDE",NA,"3","14","14","1","1","14","1","13","9","1.8e-05","5.56 - 333","Yes","NA - not sampled","Keep in in Category 3","12","No"
"NASH RUN","4_4_DDE","DDE",NA,"3","6","7","0","0","7","0","3","0","1.8e-05","5.56 - 333",NA,"NA - not sampled","Keep in in Category 3","9","No"
"NORMANSTONE CREEK","4_4_DDE","DDE",NA,"Not Listed","1","1","0","0","1","0","0","0","1.8e-05","5.56 - 333",NA,"NA - not sampled","Take no action","15","No"
"OXON RUN","4_4_DDE","DDE",NA,"Not Listed","1","1","0","0","1","0","0","0","1.8e-05","5.56 - 333",NA,"NA - not sampled","Take no action","15","No"
"PINEHURST BRANCH","4_4_DDE","DDE",NA,"3","2","2","0","0","1","0","0","0","1.8e-05","5.56 - 333",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEY BRANCH","4_4_DDE","DDE",NA,"3","1","1","0","0","1","0","0","0","1.8e-05","5.56 - 333",NA,"NA - not sampled","Remove from Category 3","8","No"
"POPE BRANCH","4_4_DDE","DDE",NA,"4a","6","7","1","1","7","1","4","4","1.8e-05","5.56 - 333","No","NA - not sampled","Keep in in Category 4a","5","Yes"
"PORTAL BRANCH","4_4_DDE","DDE",NA,"3","1","2","0","0","2","0","0","0","1.8e-05","5.56 - 333",NA,"NA - not sampled","Remove from Category 3","8","No"
"POTOMAC LOWER","4_4_DDE","DDE",NA,"Not Listed","13","13","0","0","13","0","13","0","1.8e-05","5.56 - 333",NA,"No exceedances","Take no action","15","No"
"POTOMAC MIDDLE","4_4_DDE","DDE",NA,"Not Listed","13","13","0","0","13","0","13","0","1.8e-05","5.56 - 333",NA,"No exceedances","Take no action","15","No"
"POTOMAC UPPER","4_4_DDE","DDE",NA,"Not Listed","13","13","0","0","13","0","13","0","1.8e-05","5.56 - 333",NA,"No exceedances","Take no action","15","No"
"ROCK CREEK LOWER","4_4_DDE","DDE",NA,"Not Listed","14","14","2","2","13","2","13","6","1.8e-05","5.56 - 333","Yes","NA - not sampled","Move to Category 5","14","No"
"ROCK CREEK UPPER","4_4_DDE","DDE",NA,"Not Listed","18","19","0","0","0","0","0","0","1.8e-05","5.56 - 333",NA,"NA - not sampled","Take no action","15","No"
"SOAPSTONE CREEK","4_4_DDE","DDE",NA,"3","1","1","0","0","1","0","0","0","1.8e-05","5.56 - 333",NA,"NA - not sampled","Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","4_4_DDE","DDE",NA,"4a","6","6","3","3","6","3","3","0","1.8e-05","5.56 - 333","Yes","NA - not sampled","Keep in in Category 4a","1","Yes"
"TIDAL BASIN","4_4_DDE","DDE",NA,"3","3","3","0","0","3","0","0","0","1.8e-05","5.56 - 333",NA,"No exceedances","Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","4_4_DDE","DDE",NA,"3","7","19","0","0","19","0","12","0","1.8e-05","5.56 - 333",NA,"No exceedances","Keep in in Category 3","9","No"
"WATTS BRANCH LOWER","4_4_DDE","DDE",NA,"3","6","7","0","0","7","0","4","0","1.8e-05","5.56 - 333",NA,"NA - not sampled","Keep in in Category 3","9","No"
"WATTS BRANCH UPPER","4_4_DDE","DDE",NA,"3","13","13","0","0","13","0","13","0","1.8e-05","5.56 - 333",NA,"NA - not sampled","Keep in in Category 3","9","No"
"BATTERY KEMBLE CREEK","4_4_DDE","DDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1.8e-05","5.56 - 333",NA,"NA - not sampled","Take no action","15","No"
"C&O CANAL","4_4_DDE","DDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1.8e-05","5.56 - 333",NA,"NA - not sampled","Take no action","15","No"
"FORT CHAPLIN TRIBUTARY","4_4_DDE","DDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1.8e-05","5.56 - 333",NA,"NA - not sampled","Take no action","15","No"
"FORT DAVIS TRIBUTARY","4_4_DDE","DDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1.8e-05","5.56 - 333",NA,"NA - not sampled","Take no action","15","No"
"FOUNDRY BRANCH","4_4_DDE","DDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1.8e-05","5.56 - 333",NA,"NA - not sampled","Take no action","15","No"
"ANACOSTIA LOWER","4_4_DDT","DDT",NA,"4a","24","52","5","5","52","5","40","0","3e-05","9.33 - 123","Yes","No exceedances","Keep in in Category 4a","1","Yes"
"ANACOSTIA UPPER","4_4_DDT","DDT",NA,"4a","17","105","16","16","105","16","86","23","3e-05","9.33 - 123","Yes","No exceedances","Keep in in Category 4a","1","Yes"
"BROAD BRANCH","4_4_DDT","DDT",NA,"Not Listed","14","14","2","2","14","2","13","3","3e-05","9.33 - 123","Yes","NA - not sampled","Move to Category 5","14","No"
"DALECARLIA TRIBUTARY","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","0","3e-05","9.33 - 123",NA,"NA - not sampled","Remove from Category 3","8","No"
"DUMBARTON OAKS","4_4_DDT","DDT",NA,"3","14","15","3","3","15","3","13","9","3e-05","9.33 - 123","Yes","NA - not sampled","Move to Category 5","7","No"
"FENWICK BRANCH","4_4_DDT","DDT",NA,"4a","1","1","1","1","1","1","0","0","3e-05","9.33 - 123","No","NA - not sampled","Keep in in Category 4a","4","No"
"FORT DUPONT TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","13","13","1","1","13","1","13","9","3e-05","9.33 - 123","Yes","NA - not sampled","Move to Category 3","18","No"
"FORT STANTON TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","16","17","0","0","17","0","13","0","3e-05","9.33 - 123",NA,"NA - not sampled","Take no action","15","No"
"HICKEY RUN","4_4_DDT","DDT",NA,"3","5","6","0","0","6","0","3","0","3e-05","9.33 - 123",NA,"NA - not sampled","Keep in in Category 3","9","No"
"KINGMAN LAKE","4_4_DDT","DDT",NA,"3","13","25","3","3","25","3","15","3","3e-05","9.33 - 123","Yes","No exceedances","Move to Category 5","7","Yes"
"KLINGLE VALLEY","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","0","3e-05","9.33 - 123",NA,"NA - not sampled","Remove from Category 3","8","No"
"LUZON BRANCH","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","0","3e-05","9.33 - 123",NA,"NA - not sampled","Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDT","DDT",NA,"3","14","14","2","2","14","2","13","10","3e-05","9.33 - 123","Yes","NA - not sampled","Move to Category 5","7","No"
"NASH RUN","4_4_DDT","DDT",NA,"3","6","7","0","0","7","0","3","0","3e-05","9.33 - 123",NA,"NA - not sampled","Keep in in Category 3","9","No"
"NORMANSTONE CREEK","4_4_DDT","DDT",NA,"Not Listed","1","1","0","0","1","0","0","0","3e-05","9.33 - 123",NA,"NA - not sampled","Take no action","15","No"
"OXON RUN","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","0","3e-05","9.33 - 123",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEHURST BRANCH","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","0","3e-05","9.33 - 123",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEY BRANCH","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","0","3e-05","9.33 - 123",NA,"NA - not sampled","Remove from Category 3","8","No"
"POPE BRANCH","4_4_DDT","DDT",NA,"3","6","7","0","0","7","0","4","0","3e-05","9.33 - 123",NA,"NA - not sampled","Keep in in Category 3","9","No"
"PORTAL BRANCH","4_4_DDT","DDT",NA,"3","1","2","0","0","2","0","0","0","3e-05","9.33 - 123",NA,"NA - not sampled","Remove from Category 3","8","No"
"POTOMAC LOWER","4_4_DDT","DDT",NA,"Not Listed","13","13","0","0","13","0","13","0","3e-05","9.33 - 123",NA,"No exceedances","Take no action","15","No"
"POTOMAC MIDDLE","4_4_DDT","DDT",NA,"Not Listed","13","13","0","0","13","0","13","0","3e-05","9.33 - 123",NA,"No exceedances","Take no action","15","No"
"POTOMAC UPPER","4_4_DDT","DDT",NA,"Not Listed","13","13","1","1","13","1","13","0","3e-05","9.33 - 123","Yes","No exceedances","Move to Category 3","18","No"
"ROCK CREEK LOWER","4_4_DDT","DDT",NA,"Not Listed","13","13","1","1","13","1","13","6","3e-05","9.33 - 123","Yes","NA - not sampled","Move to Category 3","18","No"
"ROCK CREEK UPPER","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3e-05","9.33 - 123",NA,"NA - not sampled","Take no action","15","No"
"SOAPSTONE CREEK","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","0","3e-05","9.33 - 123",NA,"NA - not sampled","Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","4_4_DDT","DDT",NA,"4a","6","6","1","1","6","1","3","3","3e-05","9.33 - 123","No","NA - not sampled","Keep in in Category 4a","5","Yes"
"TIDAL BASIN","4_4_DDT","DDT",NA,"3","3","3","0","0","3","0","0","0","3e-05","9.33 - 123",NA,"No exceedances","Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","4_4_DDT","DDT",NA,"3","7","19","0","0","19","0","12","0","3e-05","9.33 - 123",NA,"No exceedances","Keep in in Category 3","9","No"
"WATTS BRANCH LOWER","4_4_DDT","DDT",NA,"3","6","7","0","0","7","0","4","0","3e-05","9.33 - 123",NA,"NA - not sampled","Keep in in Category 3","9","No"
"WATTS BRANCH UPPER","4_4_DDT","DDT",NA,"3","13","13","0","0","13","0","13","0","3e-05","9.33 - 123",NA,"NA - not sampled","Keep in in Category 3","9","No"
"BATTERY KEMBLE CREEK","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3e-05","9.33 - 123",NA,"NA - not sampled","Take no action","15","No"
"C&O CANAL","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3e-05","9.33 - 123",NA,"NA - not sampled","Take no action","15","No"
"FORT CHAPLIN TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3e-05","9.33 - 123",NA,"NA - not sampled","Take no action","15","No"
"FORT DAVIS TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3e-05","9.33 - 123",NA,"NA - not sampled","Take no action","15","No"
"FOUNDRY BRANCH","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3e-05","9.33 - 123",NA,"NA - not sampled","Take no action","15","No"
"ANACOSTIA LOWER","ACENAPHTHENE","PAH1",NA,"4a","24","52","0","0","52","0","40","0","90","0.000156 - 0.000789",NA,"No exceedances","Remove from Category 4a","3","Yes"
"ANACOSTIA UPPER","ACENAPHTHENE","PAH1",NA,"4a","14","56","2","0","56","0","37","0","90","0.000156 - 0.000789",NA,"No exceedances","Remove from Category 4a","3","Yes"
"BROAD BRANCH","ACENAPHTHENE","PAH1",NA,"Not Listed","14","14","0","0","14","0","13","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Take no action","15","No"
"DALECARLIA TRIBUTARY","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Remove from Category 3","8","No"
"DUMBARTON OAKS","ACENAPHTHENE","PAH1",NA,"3","14","15","0","0","15","0","13","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Remove from Category 3","10","No"
"FENWICK BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Take no action","15","No"
"FORT STANTON TRIBUTARY","ACENAPHTHENE","PAH1",NA,"4a","19","20","0","0","20","0","16","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"HICKEY RUN","ACENAPHTHENE","PAH1",NA,"4a","5","6","2","0","6","0","3","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"KINGMAN LAKE","ACENAPHTHENE","PAH1",NA,"4a","13","25","0","0","25","0","15","0","90","0.000156 - 0.000789",NA,"No exceedances","Remove from Category 4a","3","Yes"
"KLINGLE VALLEY","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Remove from Category 3","8","No"
"LUZON BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","ACENAPHTHENE","PAH1",NA,"3","14","14","0","0","14","0","13","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Remove from Category 3","10","No"
"NASH RUN","ACENAPHTHENE","PAH1",NA,"4a","6","7","2","0","7","0","3","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"NORMANSTONE CREEK","ACENAPHTHENE","PAH1",NA,"Not Listed","1","1","0","0","1","0","0","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Take no action","15","No"
"OXON RUN","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEHURST BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEY BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Remove from Category 3","8","No"
"POPE BRANCH","ACENAPHTHENE","PAH1",NA,"4a","6","7","0","0","7","0","4","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"PORTAL BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","2","0","0","2","0","0","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Remove from Category 3","8","No"
"POTOMAC LOWER","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","90","0.000156 - 0.000789",NA,"No exceedances","Take no action","15","No"
