"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples 1990-2021","# Detects 1990-2021","# Exceedances 1990-2021","# of Samples Within Last 10 Years (2011-2021)","# of Exceedances Within Last 10 Years (2011 - 2021)","# of Samples Within Last 5 Years (2016 - 2021)","# Samples Since Last Exceed-ance","Class C CCC Criterion (ug/L)","ccc_dl_ratio_range","Class C CMC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CMC","Was Last Exceedance Within Current 5-year Assessment Period (2016 - 2021)?","Reevaluation Categorization Decision for Class C","Decision Logic Case #","Updated TMDL?"
"POPE BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","1","1","0","0","1","0","1","0","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"PORTAL BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"POTOMAC LOWER","MERCURY","MERCURY","DISSOLVED","Not Listed","13","13","0","0","13","0","13","0","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"POTOMAC MIDDLE","MERCURY","MERCURY","DISSOLVED","Not Listed","13","13","0","0","13","0","13","0","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"POTOMAC UPPER","MERCURY","MERCURY","DISSOLVED","Not Listed","13","13","0","0","13","0","13","0","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"ROCK CREEK LOWER","MERCURY","MERCURY","DISSOLVED","4a","13","13","0","0","13","0","13","0","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Remove from Category 4a","3","No"
"ROCK CREEK UPPER","MERCURY","MERCURY","DISSOLVED","4a","1","1","1","0","0","0","0","0","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Move to Category 3","2","No"
"SOAPSTONE CREEK","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"TEXAS AVENUE TRIBUTARY","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"TIDAL BASIN","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"WASHINGTON SHIP CHANNEL","MERCURY","MERCURY","DISSOLVED","Not Listed","4","16","0","0","16","0","12","0","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"WATTS BRANCH LOWER","MERCURY","MERCURY","DISSOLVED","Not Listed","3","3","0","0","3","0","3","0","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"WATTS BRANCH UPPER","MERCURY","MERCURY","DISSOLVED","Not Listed","13","13","0","0","13","0","13","0","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"BATTERY KEMBLE CREEK","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"C&O CANAL","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"FORT CHAPLIN TRIBUTARY","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"FORT DAVIS TRIBUTARY","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"FOUNDRY BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"ANACOSTIA LOWER","ZINC","ZINC","DISSOLVED","4a","24","52","42","0","52","0","40","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Remove from Category 4a","3","Yes"
"ANACOSTIA UPPER","ZINC","ZINC","DISSOLVED","4a","14","56","51","0","56","0","37","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Remove from Category 4a","3","Yes"
"BROAD BRANCH","ZINC","ZINC","DISSOLVED","Not Listed","13","13","4","0","13","0","13","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Not listed - take no action","15","No"
"DALECARLIA TRIBUTARY","ZINC","ZINC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Remove from Category 3","8","No"
"DUMBARTON OAKS","ZINC","ZINC","DISSOLVED","3","13","13","10","0","13","0","13","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Remove from Category 3","10","No"
"FENWICK BRANCH","ZINC","ZINC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","ZINC","ZINC","DISSOLVED","3","19","19","18","0","19","0","16","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Remove from Category 3","10","No"
"FORT STANTON TRIBUTARY","ZINC","ZINC","DISSOLVED","Not Listed","19","20","16","0","20","0","16","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Not listed - take no action","15","No"
"HICKEY RUN","ZINC","ZINC","DISSOLVED","3","150","150","136","0","150","0","102","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Remove from Category 3","10","No"
"KINGMAN LAKE","ZINC","ZINC","DISSOLVED","3","13","25","25","1","25","1","15","1","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","Yes","Remove from Category 3","13","No"
"KLINGLE VALLEY","ZINC","ZINC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Remove from Category 3","8","No"
"LUZON BRANCH","ZINC","ZINC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","ZINC","ZINC","DISSOLVED","3","13","13","3","0","13","0","13","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Remove from Category 3","10","No"
"NASH RUN","ZINC","ZINC","DISSOLVED","3","6","7","6","0","7","0","3","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Remove from Category 3","10","No"
"NORMANSTONE CREEK","ZINC","ZINC","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Not listed - take no action","15","No"
"OXON RUN","ZINC","ZINC","DISSOLVED","3","1","1","1","0","1","0","0","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Remove from Category 3","8","No"
"PINEHURST BRANCH","ZINC","ZINC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Remove from Category 3","8","No"
"PINEY BRANCH","ZINC","ZINC","DISSOLVED","3","1","1","1","0","1","0","0","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Remove from Category 3","8","No"
"POPE BRANCH","ZINC","ZINC","DISSOLVED","3","1","1","1","0","1","0","1","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Remove from Category 3","10","No"
"PORTAL BRANCH","ZINC","ZINC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Remove from Category 3","8","No"
"POTOMAC LOWER","ZINC","ZINC","DISSOLVED","Not Listed","13","13","1","0","13","0","13","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Not listed - take no action","15","No"
"POTOMAC MIDDLE","ZINC","ZINC","DISSOLVED","Not Listed","13","13","1","0","13","0","13","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Not listed - take no action","15","No"
"POTOMAC UPPER","ZINC","ZINC","DISSOLVED","Not Listed","13","13","2","0","13","0","13","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Not listed - take no action","15","No"
"ROCK CREEK LOWER","ZINC","ZINC","DISSOLVED","4a","13","13","2","0","13","0","13","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Remove from Category 4a","3","No"
"ROCK CREEK UPPER","ZINC","ZINC","DISSOLVED","Not Listed","155","155","71","0","155","0","107","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Not listed - take no action","15","No"
"SOAPSTONE CREEK","ZINC","ZINC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","ZINC","ZINC","DISSOLVED","Not Listed","6","6","5","0","6","0","3","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Not listed - take no action","15","No"
"TIDAL BASIN","ZINC","ZINC","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Not listed - take no action","15","No"
"WASHINGTON SHIP CHANNEL","ZINC","ZINC","DISSOLVED","Not Listed","4","16","16","0","16","0","12","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Not listed - take no action","15","No"
"WATTS BRANCH LOWER","ZINC","ZINC","DISSOLVED","Not Listed","3","3","3","0","3","0","3","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Not listed - take no action","15","No"
"WATTS BRANCH UPPER","ZINC","ZINC","DISSOLVED","Not Listed","157","159","140","0","159","0","113","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Not listed - take no action","15","No"
"BATTERY KEMBLE CREEK","ZINC","ZINC","DISSOLVED","3","1","1","1","0","1","0","0","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Remove from Category 3","8","No"
"C&O CANAL","ZINC","ZINC","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Not listed - take no action","15","No"
"FORT CHAPLIN TRIBUTARY","ZINC","ZINC","DISSOLVED","Not Listed","6","6","6","0","6","0","3","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Not listed - take no action","15","No"
"FORT DAVIS TRIBUTARY","ZINC","ZINC","DISSOLVED","Not Listed","6","6","6","0","6","0","3","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Not listed - take no action","15","No"
"FOUNDRY BRANCH","ZINC","ZINC","DISSOLVED","Not Listed","1","2","2","0","2","0","0","0","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115",NA,"Not listed - take no action","15","No"
"ANACOSTIA LOWER","4_4_DDD","DDD",NA,"4a","24","52","3","1","52","1","40","48","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No","Keep in Category 4a","5","Yes"
"ANACOSTIA UPPER","4_4_DDD","DDD",NA,"4a","17","105","21","6","105","6","86","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","Yes","Keep in Category 4a","1","Yes"
"BROAD BRANCH","4_4_DDD","DDD",NA,"Not Listed","14","14","0","0","14","0","13","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Not listed - take no action","15","No"
"DALECARLIA TRIBUTARY","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Remove from Category 3","8","No"
"DUMBARTON OAKS","4_4_DDD","DDD",NA,"3","14","15","0","0","15","0","13","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Keep in Category 3","9","No"
"FENWICK BRANCH","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","13","13","0","0","13","0","13","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Not listed - take no action","15","No"
"FORT STANTON TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","16","17","1","1","17","1","13","11","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","Yes","Move to Category 3","18","No"
"HICKEY RUN","4_4_DDD","DDD",NA,"3","5","6","0","0","6","0","3","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Keep in Category 3","9","No"
"KINGMAN LAKE","4_4_DDD","DDD",NA,"3","13","25","3","0","25","0","15","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Keep in Category 3","9","No"
"KLINGLE VALLEY","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Remove from Category 3","8","No"
"LUZON BRANCH","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDD","DDD",NA,"3","14","14","1","1","14","1","13","9","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","Yes","Keep in Category 3","12","No"
"NASH RUN","4_4_DDD","DDD",NA,"3","6","7","0","0","7","0","3","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Keep in Category 3","9","No"
"NORMANSTONE CREEK","4_4_DDD","DDD",NA,"Not Listed","1","1","0","0","1","0","0","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Not listed - take no action","15","No"
"OXON RUN","4_4_DDD","DDD",NA,"Not Listed","1","1","0","0","1","0","0","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Not listed - take no action","15","No"
"PINEHURST BRANCH","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Remove from Category 3","8","No"
"PINEY BRANCH","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Remove from Category 3","8","No"
"POPE BRANCH","4_4_DDD","DDD",NA,"3","6","7","0","0","7","0","4","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Keep in Category 3","9","No"
"PORTAL BRANCH","4_4_DDD","DDD",NA,"3","1","2","0","0","2","0","0","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Remove from Category 3","8","No"
"POTOMAC LOWER","4_4_DDD","DDD",NA,"Not Listed","13","13","0","0","13","0","13","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Not listed - take no action","15","No"
"POTOMAC MIDDLE","4_4_DDD","DDD",NA,"Not Listed","13","13","0","0","13","0","13","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Not listed - take no action","15","No"
"POTOMAC UPPER","4_4_DDD","DDD",NA,"Not Listed","13","13","0","0","13","0","13","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Not listed - take no action","15","No"
"ROCK CREEK LOWER","4_4_DDD","DDD",NA,"Not Listed","13","13","1","1","13","1","13","6","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","Yes","Move to Category 3","18","No"
"ROCK CREEK UPPER","4_4_DDD","DDD",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Not listed - take no action","15","No"
"SOAPSTONE CREEK","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","4_4_DDD","DDD",NA,"4a","6","6","6","5","6","5","3","1","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","Yes","Keep in Category 4a","1","Yes"
"TIDAL BASIN","4_4_DDD","DDD",NA,"3","3","3","0","0","3","0","0","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","4_4_DDD","DDD",NA,"3","7","19","0","0","19","0","12","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Keep in Category 3","9","No"
"WATTS BRANCH LOWER","4_4_DDD","DDD",NA,"3","6","7","0","0","7","0","4","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Keep in Category 3","9","No"
"WATTS BRANCH UPPER","4_4_DDD","DDD",NA,"3","13","13","1","1","13","1","13","1","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","Yes","Keep in Category 3","12","No"
"BATTERY KEMBLE CREEK","4_4_DDD","DDD",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Not listed - take no action","15","No"
"C&O CANAL","4_4_DDD","DDD",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Not listed - take no action","15","No"
"FORT CHAPLIN TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Not listed - take no action","15","No"
"FORT DAVIS TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Not listed - take no action","15","No"
"FOUNDRY BRANCH","4_4_DDD","DDD",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473",NA,"Not listed - take no action","15","No"
"ANACOSTIA LOWER","4_4_DDE","DDE",NA,"4a","24","52","0","0","52","0","40","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Move to Category 3","2","Yes"
"ANACOSTIA UPPER","4_4_DDE","DDE",NA,"4a","17","105","1","1","105","1","86","54","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","Yes","Keep in Category 4a","5","Yes"
"BROAD BRANCH","4_4_DDE","DDE",NA,"Not Listed","14","14","0","0","14","0","13","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Not listed - take no action","15","No"
"DALECARLIA TRIBUTARY","4_4_DDE","DDE",NA,"3","1","1","0","0","1","0","0","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Remove from Category 3","8","No"
"DUMBARTON OAKS","4_4_DDE","DDE",NA,"3","14","15","1","1","15","1","13","10","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","Yes","Keep in Category 3","12","No"
"FENWICK BRANCH","4_4_DDE","DDE",NA,"3","1","1","0","0","1","0","0","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","4_4_DDE","DDE",NA,"Not Listed","13","13","0","0","13","0","13","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Not listed - take no action","15","No"
"FORT STANTON TRIBUTARY","4_4_DDE","DDE",NA,"Not Listed","16","17","1","0","17","0","13","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Not listed - take no action","15","No"
"HICKEY RUN","4_4_DDE","DDE",NA,"4a","5","6","1","0","6","0","3","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Move to Category 3","2","Yes"
"KINGMAN LAKE","4_4_DDE","DDE",NA,"3","13","25","0","0","25","0","15","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Keep in Category 3","9","No"
"KLINGLE VALLEY","4_4_DDE","DDE",NA,"3","1","1","0","0","1","0","0","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Remove from Category 3","8","No"
"LUZON BRANCH","4_4_DDE","DDE",NA,"3","1","1","0","0","1","0","0","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDE","DDE",NA,"3","14","14","1","1","14","1","13","9","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","Yes","Keep in Category 3","12","No"
"NASH RUN","4_4_DDE","DDE",NA,"3","6","7","0","0","7","0","3","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Keep in Category 3","9","No"
"NORMANSTONE CREEK","4_4_DDE","DDE",NA,"Not Listed","1","1","0","0","1","0","0","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Not listed - take no action","15","No"
"OXON RUN","4_4_DDE","DDE",NA,"Not Listed","1","1","0","0","1","0","0","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Not listed - take no action","15","No"
"PINEHURST BRANCH","4_4_DDE","DDE",NA,"3","2","2","0","0","1","0","0","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Remove from Category 3","8","No"
"PINEY BRANCH","4_4_DDE","DDE",NA,"3","1","1","0","0","1","0","0","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Remove from Category 3","8","No"
"POPE BRANCH","4_4_DDE","DDE",NA,"4a","6","7","1","0","7","0","4","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Move to Category 3","2","Yes"
"PORTAL BRANCH","4_4_DDE","DDE",NA,"3","1","2","0","0","2","0","0","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Remove from Category 3","8","No"
"POTOMAC LOWER","4_4_DDE","DDE",NA,"Not Listed","13","13","0","0","13","0","13","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Not listed - take no action","15","No"
"POTOMAC MIDDLE","4_4_DDE","DDE",NA,"Not Listed","13","13","0","0","13","0","13","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Not listed - take no action","15","No"
"POTOMAC UPPER","4_4_DDE","DDE",NA,"Not Listed","13","13","0","0","13","0","13","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Not listed - take no action","15","No"
"ROCK CREEK LOWER","4_4_DDE","DDE",NA,"Not Listed","14","14","2","2","13","2","13","6","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","Yes","Move to Category 5","14","No"
"ROCK CREEK UPPER","4_4_DDE","DDE",NA,"Not Listed","18","19","0","0","0","0","0","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Not listed - take no action","15","No"
"SOAPSTONE CREEK","4_4_DDE","DDE",NA,"3","1","1","0","0","1","0","0","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","4_4_DDE","DDE",NA,"4a","6","6","3","1","6","1","3","3","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No","Keep in Category 4a","5","Yes"
"TIDAL BASIN","4_4_DDE","DDE",NA,"3","3","3","0","0","3","0","0","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","4_4_DDE","DDE",NA,"3","7","19","0","0","19","0","12","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Keep in Category 3","9","No"
"WATTS BRANCH LOWER","4_4_DDE","DDE",NA,"3","6","7","0","0","7","0","4","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Keep in Category 3","9","No"
"WATTS BRANCH UPPER","4_4_DDE","DDE",NA,"3","13","13","0","0","13","0","13","0","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Keep in Category 3","9","No"
"BATTERY KEMBLE CREEK","4_4_DDE","DDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Not listed - take no action","15","No"
"C&O CANAL","4_4_DDE","DDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Not listed - take no action","15","No"
"FORT CHAPLIN TRIBUTARY","4_4_DDE","DDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Not listed - take no action","15","No"
"FORT DAVIS TRIBUTARY","4_4_DDE","DDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Not listed - take no action","15","No"
"FOUNDRY BRANCH","4_4_DDE","DDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545",NA,"Not listed - take no action","15","No"
"ANACOSTIA LOWER","4_4_DDT","DDT",NA,"4a","24","52","5","2","52","2","40","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Keep in Category 4a","1","Yes"
"ANACOSTIA UPPER","4_4_DDT","DDT",NA,"4a","17","105","16","12","105","12","86","23","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Keep in Category 4a","1","Yes"
"BROAD BRANCH","4_4_DDT","DDT",NA,"Not Listed","14","14","2","1","14","1","13","6","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Move to Category 3","18","No"
