"waterbody_segment","pollutant_name","test_fraction","pollutant_group","n_samples","most_recent_sample_year","n_detects","most_recent_detect_year","n_sample_dates","n_ccc_exceedance","n_cmc_exceedance","n_d_exceedance","most_recent_ccc_exceedance_date","most_recent_ccc_exceedance_year","most_recent_cmc_exceedance_date","most_recent_cmc_exceedance_year","most_recent_d_exceedance_date","most_recent_d_exceedance_year","n_since_most_recent_ccc_exceedance","n_since_most_recent_cmc_exceedance","n_since_most_recent_d_exceedance","n_samples_2011_to_2021","most_recent_sample_2011_to_2021","n_detects_2011_to_2021","most_recent_detect_2011_to_2021","n_ccc_exceedance_2011_to_2021","n_cmc_exceedance_2011_to_2021","n_d_exceedance_2011_to_2021","n_samples_2016_to_2021","most_recent_sample_2016_to_2021","n_detects_2016_to_2021","most_recent_detect_2016_to_2021","n_ccc_exceedance_2016_to_2021","n_cmc_exceedance_2016_to_2021","n_d_exceedance_2016_to_2021","n_c_exceedance","n_c_exceedance_2011_to_2021","n_c_exceedance_2016_to_2021","n_since_most_recent_c_exceedance","most_recent_c_exceedance_date","current_category","ccc_criterion","ccc_dl_ratio_range","ccc_dl_ratio","cmc_criterion","cmc_dl_ratio_range","cmc_dl_ratio","c_criterion","c_dl_ratio","d_criterion","d_dl_ratio_range","d_dl_ratio","tidal_type","fish_tissue_results_class_d","updated_tmdl","d_decision_case_number","decision_category","d_decision_description"
"PORTAL BRANCH","ZINC","DISSOLVED","ZINC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","waterbody-specific","0.00966 - 0.114","less than 1","waterbody-specific","0.00973 - 0.115","less than 1","waterbody-specific","less than 1","no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Remove from Category 3"
"POTOMAC LOWER","ZINC","DISSOLVED","ZINC",13,2021,1,"2020",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,1,"2020",0,0,0,13,2021,1,"2020",0,0,0,0,0,0,0,NA,"Not Listed","waterbody-specific","0.00966 - 0.114","less than 1","waterbody-specific","0.00973 - 0.115","less than 1","waterbody-specific","less than 1","no criteria",NA,NA,"Tidal","No exceedances","No",0,NA,"Not listed - take no action"
"POTOMAC MIDDLE","ZINC","DISSOLVED","ZINC",13,2021,1,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,1,"2021",0,0,0,13,2021,1,"2021",0,0,0,0,0,0,0,NA,"Not Listed","waterbody-specific","0.00966 - 0.114","less than 1","waterbody-specific","0.00973 - 0.115","less than 1","waterbody-specific","less than 1","no criteria",NA,NA,"Tidal","No exceedances","No",0,NA,"Not listed - take no action"
"POTOMAC UPPER","ZINC","DISSOLVED","ZINC",13,2021,2,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,2,"2021",0,0,0,13,2021,2,"2021",0,0,0,0,0,0,0,NA,"Not Listed","waterbody-specific","0.00966 - 0.114","less than 1","waterbody-specific","0.00973 - 0.115","less than 1","waterbody-specific","less than 1","no criteria",NA,NA,"Tidal","No exceedances","No",0,NA,"Not listed - take no action"
"ROCK CREEK LOWER","ZINC","DISSOLVED","ZINC",13,2021,2,"2020",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,2,"2020",0,0,0,13,2021,2,"2020",0,0,0,0,0,0,0,NA,"4a","waterbody-specific","0.00966 - 0.114","less than 1","waterbody-specific","0.00973 - 0.115","less than 1","waterbody-specific","less than 1","no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Remove from Category 4a"
"ROCK CREEK UPPER","ZINC","DISSOLVED","ZINC",155,2021,71,"2021",155,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,155,2021,71,"2021",0,0,0,107,2021,43,"2021",0,0,0,0,0,0,0,NA,"Not Listed","waterbody-specific","0.00966 - 0.114","less than 1","waterbody-specific","0.00973 - 0.115","less than 1","waterbody-specific","less than 1","no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Not listed - take no action"
"SOAPSTONE CREEK","ZINC","DISSOLVED","ZINC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","waterbody-specific","0.00966 - 0.114","less than 1","waterbody-specific","0.00973 - 0.115","less than 1","waterbody-specific","less than 1","no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","ZINC","DISSOLVED","ZINC",6,2019,5,"2019",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,5,"2019",0,0,0,3,2019,2,"2019",0,0,0,0,0,0,0,NA,"Not Listed","waterbody-specific","0.00966 - 0.114","less than 1","waterbody-specific","0.00973 - 0.115","less than 1","waterbody-specific","less than 1","no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Not listed - take no action"
"TIDAL BASIN","ZINC","DISSOLVED","ZINC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed","waterbody-specific","0.00966 - 0.114","less than 1","waterbody-specific","0.00973 - 0.115","less than 1","waterbody-specific","less than 1","no criteria",NA,NA,"Tidal","No exceedances","No",0,NA,"Not listed - take no action"
"WASHINGTON SHIP CHANNEL","ZINC","DISSOLVED","ZINC",16,2016,16,"2016",4,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,16,2016,16,"2016",0,0,0,12,2016,12,"2016",0,0,0,0,0,0,0,NA,"Not Listed","waterbody-specific","0.00966 - 0.114","less than 1","waterbody-specific","0.00973 - 0.115","less than 1","waterbody-specific","less than 1","no criteria",NA,NA,"Tidal","No exceedances","No",0,NA,"Not listed - take no action"
"WATTS BRANCH LOWER","ZINC","DISSOLVED","ZINC",3,2017,3,"2017",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2017,3,"2017",0,0,0,3,2017,3,"2017",0,0,0,0,0,0,0,NA,"Not Listed","waterbody-specific","0.00966 - 0.114","less than 1","waterbody-specific","0.00973 - 0.115","less than 1","waterbody-specific","less than 1","no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Not listed - take no action"
"WATTS BRANCH UPPER","ZINC","DISSOLVED","ZINC",159,2021,140,"2021",157,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,159,2021,140,"2021",0,0,0,113,2021,96,"2021",0,0,0,0,0,0,0,NA,"Not Listed","waterbody-specific","0.00966 - 0.114","less than 1","waterbody-specific","0.00973 - 0.115","less than 1","waterbody-specific","less than 1","no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Not listed - take no action"
"BATTERY KEMBLE CREEK","ZINC","DISSOLVED","ZINC",1,2013,1,"2013",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,1,"2013",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3","waterbody-specific","0.00966 - 0.114","less than 1","waterbody-specific","0.00973 - 0.115","less than 1","waterbody-specific","less than 1","no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Remove from Category 3"
"C&O CANAL","ZINC","DISSOLVED","ZINC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed","waterbody-specific","0.00966 - 0.114","less than 1","waterbody-specific","0.00973 - 0.115","less than 1","waterbody-specific","less than 1","no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","ZINC","DISSOLVED","ZINC",6,2019,6,"2019",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,6,"2019",0,0,0,3,2019,3,"2019",0,0,0,0,0,0,0,NA,"Not Listed","waterbody-specific","0.00966 - 0.114","less than 1","waterbody-specific","0.00973 - 0.115","less than 1","waterbody-specific","less than 1","no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","ZINC","DISSOLVED","ZINC",6,2019,6,"2019",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,6,"2019",0,0,0,3,2019,3,"2019",0,0,0,0,0,0,0,NA,"Not Listed","waterbody-specific","0.00966 - 0.114","less than 1","waterbody-specific","0.00973 - 0.115","less than 1","waterbody-specific","less than 1","no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Not listed - take no action"
"FOUNDRY BRANCH","ZINC","DISSOLVED","ZINC",2,2013,2,"2013",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,2,"2013",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"Not Listed","waterbody-specific","0.00966 - 0.114","less than 1","waterbody-specific","0.00973 - 0.115","less than 1","waterbody-specific","less than 1","no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Not listed - take no action"
"ANACOSTIA LOWER","4_4_DDD",NA,"DDD",52,2021,3,"2019",24,1,0,3,2014-09-22,"2014",NA,"Never",2019-06-11,"2019",48,0,13,52,2021,3,"2019",1,0,3,40,2021,2,"2019",0,0,2,1,1,0,48,2014-09-22,"4a","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Tidal","No exceedances","Yes",1,"Category 4a","Keep in Category 4a"
"ANACOSTIA UPPER","4_4_DDD",NA,"DDD",105,2019,21,"2019",17,6,0,21,2019-06-11,"2019",NA,"Never",2019-06-11,"2019",0,0,0,105,2019,21,"2019",6,0,21,86,2019,21,"2019",6,0,21,6,6,6,0,2019-06-11,"4a","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Tidal","No exceedances","Yes",1,"Category 4a","Keep in Category 4a"
"BROAD BRANCH","4_4_DDD",NA,"DDD",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"Not Listed","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"DALECARLIA TRIBUTARY","4_4_DDD",NA,"DDD",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"DUMBARTON OAKS","4_4_DDD",NA,"DDD",15,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,15,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"3","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",9,"Category 3","Keep in Category 3"
"FENWICK BRANCH","4_4_DDD",NA,"DDD",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"FORT DUPONT TRIBUTARY","4_4_DDD",NA,"DDD",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"Not Listed","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"FORT STANTON TRIBUTARY","4_4_DDD",NA,"DDD",17,2021,1,"2020",16,1,0,1,2020-07-09,"2020",NA,"Never",2020-07-09,"2020",11,0,11,17,2021,1,"2020",1,0,1,13,2021,1,"2020",1,0,1,1,1,1,11,2020-07-09,"Not Listed","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",18,"Category 3","Move to Category 3"
"HICKEY RUN","4_4_DDD",NA,"DDD",6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,0,"Never",0,0,0,3,2019,0,"Never",0,0,0,0,0,0,0,NA,"3","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",9,"Category 3","Keep in Category 3"
"KINGMAN LAKE","4_4_DDD",NA,"DDD",25,2019,3,"2019",13,0,0,3,NA,"Never",NA,"Never",2019-06-11,"2019",0,0,0,25,2019,3,"2019",0,0,3,15,2019,2,"2019",0,0,2,0,0,0,0,NA,"3","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Tidal","No exceedances","No",7,"Category 5","Move to Category 5"
"KLINGLE VALLEY","4_4_DDD",NA,"DDD",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"LUZON BRANCH","4_4_DDD",NA,"DDD",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDD",NA,"DDD",14,2021,1,"2020",14,1,0,1,2020-09-10,"2020",NA,"Never",2020-09-10,"2020",9,0,9,14,2021,1,"2020",1,0,1,13,2021,1,"2020",1,0,1,1,1,1,9,2020-09-10,"3","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",12,"Category 3","Keep in Category 3"
"NASH RUN","4_4_DDD",NA,"DDD",7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,0,"Never",0,0,0,3,2019,0,"Never",0,0,0,0,0,0,0,NA,"3","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",9,"Category 3","Keep in Category 3"
"NORMANSTONE CREEK","4_4_DDD",NA,"DDD",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"Not Listed","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"OXON RUN","4_4_DDD",NA,"DDD",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"Not Listed","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"PINEHURST BRANCH","4_4_DDD",NA,"DDD",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"PINEY BRANCH","4_4_DDD",NA,"DDD",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"POPE BRANCH","4_4_DDD",NA,"DDD",7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,0,"Never",0,0,0,4,2019,0,"Never",0,0,0,0,0,0,0,NA,"3","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",9,"Category 3","Keep in Category 3"
"PORTAL BRANCH","4_4_DDD",NA,"DDD",2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"POTOMAC LOWER","4_4_DDD",NA,"DDD",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"Not Listed","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Tidal","No exceedances","No",15,"Category 2","Not listed - take no action"
"POTOMAC MIDDLE","4_4_DDD",NA,"DDD",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"Not Listed","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Tidal","No exceedances","No",15,"Category 2","Not listed - take no action"
"POTOMAC UPPER","4_4_DDD",NA,"DDD",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"Not Listed","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Tidal","No exceedances","No",15,"Category 2","Not listed - take no action"
"ROCK CREEK LOWER","4_4_DDD",NA,"DDD",13,2021,1,"2020",13,1,0,1,2020-12-08,"2020",NA,"Never",2020-12-08,"2020",6,0,6,13,2021,1,"2020",1,0,1,13,2021,1,"2020",1,0,1,1,1,1,6,2020-12-08,"Not Listed","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",18,"Category 3","Move to Category 3"
"ROCK CREEK UPPER","4_4_DDD",NA,"DDD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"SOAPSTONE CREEK","4_4_DDD",NA,"DDD",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","4_4_DDD",NA,"DDD",6,2019,6,"2019",6,5,0,6,2018-10-12,"2018",NA,"Never",2019-06-11,"2019",1,0,0,6,2019,6,"2019",5,0,6,3,2019,3,"2019",2,0,3,5,5,2,1,2018-10-12,"4a","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","Yes",1,"Category 4a","Keep in Category 4a"
"TIDAL BASIN","4_4_DDD",NA,"DDD",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Tidal","No exceedances","No",8,"Category 2","Remove from Category 3"
"WASHINGTON SHIP CHANNEL","4_4_DDD",NA,"DDD",19,2016,0,"Never",7,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,19,2016,0,"Never",0,0,0,12,2016,0,"Never",0,0,0,0,0,0,0,NA,"3","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Tidal","No exceedances","No",9,"Category 3","Keep in Category 3"
"WATTS BRANCH LOWER","4_4_DDD",NA,"DDD",7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,0,"Never",0,0,0,4,2019,0,"Never",0,0,0,0,0,0,0,NA,"3","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",9,"Category 3","Keep in Category 3"
"WATTS BRANCH UPPER","4_4_DDD",NA,"DDD",13,2021,1,"2021",13,1,0,1,2021-05-12,"2021",NA,"Never",2021-05-12,"2021",1,0,1,13,2021,1,"2021",1,0,1,13,2021,1,"2021",1,0,1,1,1,1,1,2021-05-12,"3","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",12,"Category 3","Keep in Category 3"
"BATTERY KEMBLE CREEK","4_4_DDD",NA,"DDD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"C&O CANAL","4_4_DDD",NA,"DDD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","4_4_DDD",NA,"DDD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"FORT DAVIS TRIBUTARY","4_4_DDD",NA,"DDD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"FOUNDRY BRANCH","4_4_DDD",NA,"DDD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed","1E-3","0.2 - 5.2","greater than 1","1.1000000000000001","0.000182 -0.00473","less than 1","1E-3","greater than 1","0.00012","1.67 - 43.3","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"ANACOSTIA LOWER","4_4_DDE",NA,"DDE",52,2021,0,"Never",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,52,2021,0,"Never",0,0,0,40,2021,0,"Never",0,0,0,0,0,0,0,NA,"4a","1E-3","0.1 - 6","greater than 1","1.1000000000000001","0.0000909 - 0.00545","less than 1","1E-3","greater than 1","1.8e-05","5.56 - 333","greater than 1","Tidal","No exceedances","Yes",2,"Category 3","Move to Category 3"
