"waterbody_segment","pollutant_group","test_fraction","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample_year","number_of_detects","most_recent_detect_year","number_of_samples_exceeding_class_c","most_recent_class_c_exceedance","number_of_samples_since_last_class_c_exceedance","has_there_been_multi_class_c_exceedance_in_3yr","when_was_last_period_with_multi_class_c_exceedance"
"HICKEY RUN","ZINC","DISSOLVED","","","150","102","2021","136","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KINGMAN LAKE","ZINC","DISSOLVED","","","25","15","2019","25","2019","1 (CCC), 1 (CMC)","2018 (CCC) 2018 (CMC)","1 (CCC), 1 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KLINGLE VALLEY","ZINC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"LUZON BRANCH","ZINC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"MELVIN HAZEN VALLEY BRANCH","ZINC","DISSOLVED","","","13","13","2021","3","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NASH RUN","ZINC","DISSOLVED","","","7","3","2019","6","2019","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NORMANSTONE CREEK","ZINC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"OXON RUN","ZINC","DISSOLVED","","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEHURST BRANCH","ZINC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEY BRANCH","ZINC","DISSOLVED","","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POPE BRANCH","ZINC","DISSOLVED","","","1","1","2017","1","2017","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PORTAL BRANCH","ZINC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC LOWER","ZINC","DISSOLVED","","","13","13","2021","1","2020","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC MIDDLE","ZINC","DISSOLVED","","","13","13","2021","1","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC UPPER","ZINC","DISSOLVED","","","13","13","2021","2","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK LOWER","ZINC","DISSOLVED","","","13","13","2021","2","2020","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK UPPER","ZINC","DISSOLVED","","","155","107","2021","71","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"SOAPSTONE CREEK","ZINC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TEXAS AVENUE TRIBUTARY","ZINC","DISSOLVED","","","6","3","2019","5","2019","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TIDAL BASIN","ZINC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WASHINGTON SHIP CHANNEL","ZINC","DISSOLVED","","","16","12","2016","16","2016","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH LOWER","ZINC","DISSOLVED","","","3","3","2017","3","2017","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH UPPER","ZINC","DISSOLVED","","","159","113","2021","140","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BATTERY KEMBLE CREEK","ZINC","DISSOLVED","","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"C&O CANAL","ZINC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT CHAPLIN TRIBUTARY","ZINC","DISSOLVED","","","6","3","2019","6","2019","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DAVIS TRIBUTARY","ZINC","DISSOLVED","","","6","3","2019","6","2019","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FOUNDRY BRANCH","ZINC","DISSOLVED","","","2","0","2013","2","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA LOWER","LEAD","DISSOLVED","","","49","37","2021","38","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA UPPER","LEAD","DISSOLVED","","","37","18","2016","31","2016","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BROAD BRANCH","LEAD","DISSOLVED","","","13","13","2021","6","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DALECARLIA TRIBUTARY","LEAD","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DUMBARTON OAKS","LEAD","DISSOLVED","","","13","13","2021","4","2021","1 (CCC), 0 (CMC)","2020 (CCC) NA (CMC)","10 (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FENWICK BRANCH","LEAD","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DUPONT TRIBUTARY","LEAD","DISSOLVED","","","16","13","2021","7","2020","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT STANTON TRIBUTARY","LEAD","DISSOLVED","","","17","13","2021","9","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"HICKEY RUN","LEAD","DISSOLVED","","","150","102","2021","145","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KINGMAN LAKE","LEAD","DISSOLVED","","","22","12","2016","18","2016","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KLINGLE VALLEY","LEAD","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"LUZON BRANCH","LEAD","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"MELVIN HAZEN VALLEY BRANCH","LEAD","DISSOLVED","","","13","13","2021","4","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NASH RUN","LEAD","DISSOLVED","","","4","0","2014","4","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NORMANSTONE CREEK","LEAD","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"OXON RUN","LEAD","DISSOLVED","","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEHURST BRANCH","LEAD","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEY BRANCH","LEAD","DISSOLVED","","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POPE BRANCH","LEAD","DISSOLVED","","","1","1","2017","1","2017","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PORTAL BRANCH","LEAD","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC LOWER","LEAD","DISSOLVED","","","13","13","2021","5","2021","1 (CCC), 1 (CMC)","2020 (CCC) 2020 (CMC)","9 (CCC), 9 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC MIDDLE","LEAD","DISSOLVED","","","13","13","2021","5","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC UPPER","LEAD","DISSOLVED","","","13","13","2021","4","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK LOWER","LEAD","DISSOLVED","","","13","13","2021","6","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK UPPER","LEAD","DISSOLVED","","","155","107","2021","148","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"SOAPSTONE CREEK","LEAD","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TEXAS AVENUE TRIBUTARY","LEAD","DISSOLVED","","","3","0","2014","2","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TIDAL BASIN","LEAD","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WASHINGTON SHIP CHANNEL","LEAD","DISSOLVED","","","16","12","2016","8","2016","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH LOWER","LEAD","DISSOLVED","","","3","3","2017","2","2017","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH UPPER","LEAD","DISSOLVED","","","159","113","2021","131","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BATTERY KEMBLE CREEK","LEAD","DISSOLVED","","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"C&O CANAL","LEAD","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT CHAPLIN TRIBUTARY","LEAD","DISSOLVED","","","3","0","2014","3","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DAVIS TRIBUTARY","LEAD","DISSOLVED","","","3","0","2014","3","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FOUNDRY BRANCH","LEAD","DISSOLVED","","","2","0","2013","2","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA LOWER","CHLORDANE_TECHNICAL",NA,"","","52","40","2021","1","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA UPPER","CHLORDANE_TECHNICAL",NA,"","","105","86","2019","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BROAD BRANCH","CHLORDANE_TECHNICAL",NA,"","","14","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DALECARLIA TRIBUTARY","CHLORDANE_TECHNICAL",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DUMBARTON OAKS","CHLORDANE_TECHNICAL",NA,"","","15","13","2021","2","2021","2 (CCC), 0 (CMC)","2021 (CCC) NA (CMC)","4 (CCC), NA (CMC)","Yes (CCC), No (CMC)","2018 - 2021 (CCC), Never (CMC)"
"FENWICK BRANCH","CHLORDANE_TECHNICAL",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DUPONT TRIBUTARY","CHLORDANE_TECHNICAL",NA,"","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT STANTON TRIBUTARY","CHLORDANE_TECHNICAL",NA,"","","17","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"HICKEY RUN","CHLORDANE_TECHNICAL",NA,"","","6","3","2019","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KINGMAN LAKE","CHLORDANE_TECHNICAL",NA,"","","25","15","2019","1","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KLINGLE VALLEY","CHLORDANE_TECHNICAL",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"LUZON BRANCH","CHLORDANE_TECHNICAL",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"MELVIN HAZEN VALLEY BRANCH","CHLORDANE_TECHNICAL",NA,"","","14","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NASH RUN","CHLORDANE_TECHNICAL",NA,"","","7","3","2019","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NORMANSTONE CREEK","CHLORDANE_TECHNICAL",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"OXON RUN","CHLORDANE_TECHNICAL",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEHURST BRANCH","CHLORDANE_TECHNICAL",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEY BRANCH","CHLORDANE_TECHNICAL",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POPE BRANCH","CHLORDANE_TECHNICAL",NA,"","","7","4","2019","1","2013","1 (CCC), 0 (CMC)","2013 (CCC) NA (CMC)","5 (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PORTAL BRANCH","CHLORDANE_TECHNICAL",NA,"","","2","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC LOWER","CHLORDANE_TECHNICAL",NA,"","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC MIDDLE","CHLORDANE_TECHNICAL",NA,"","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC UPPER","CHLORDANE_TECHNICAL",NA,"","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK LOWER","CHLORDANE_TECHNICAL",NA,"","","13","13","2021","1","2020","1 (CCC), 0 (CMC)","2020 (CCC) NA (CMC)","6 (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK UPPER","CHLORDANE_TECHNICAL",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"SOAPSTONE CREEK","CHLORDANE_TECHNICAL",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TEXAS AVENUE TRIBUTARY","CHLORDANE_TECHNICAL",NA,"","","6","3","2019","1","2013","1 (CCC), 0 (CMC)","2013 (CCC) NA (CMC)","4 (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TIDAL BASIN","CHLORDANE_TECHNICAL",NA,"","","3","0","2014","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WASHINGTON SHIP CHANNEL","CHLORDANE_TECHNICAL",NA,"","","19","12","2016","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH LOWER","CHLORDANE_TECHNICAL",NA,"","","7","4","2019","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH UPPER","CHLORDANE_TECHNICAL",NA,"","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BATTERY KEMBLE CREEK","CHLORDANE_TECHNICAL",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"C&O CANAL","CHLORDANE_TECHNICAL",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT CHAPLIN TRIBUTARY","CHLORDANE_TECHNICAL",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DAVIS TRIBUTARY","CHLORDANE_TECHNICAL",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FOUNDRY BRANCH","CHLORDANE_TECHNICAL",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA LOWER","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"ANACOSTIA UPPER","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","Yes (CCC), No (CMC)","2018 - 2021 (CCC), Never (CMC)"
"BROAD BRANCH","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DALECARLIA TRIBUTARY","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DUMBARTON OAKS","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FENWICK BRANCH","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DUPONT TRIBUTARY","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT STANTON TRIBUTARY","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"HICKEY RUN","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KINGMAN LAKE","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"KLINGLE VALLEY","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"LUZON BRANCH","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"MELVIN HAZEN VALLEY BRANCH","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NASH RUN","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NORMANSTONE CREEK","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"OXON RUN","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEHURST BRANCH","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEY BRANCH","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
