"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples 1990-2021","# Detects 1990-2021","# Exceedances 1990-2021","# of Samples Within Last 10 Years (2011-2021)","# of Exceedances Within Last 10 Years (2011 - 2021)","# of Samples Within Last 5 Years (2016 - 2021)","# Samples Since Last Exceedance","Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion","Was Last Exceedance Within Current 5-year Assessment Period (2016 - 2021)?","Fish Tissue Results","Reevaluation Categorization Decision for Class D","Decision Logic Case #"
"POPE BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","1","1","0","0","1","0","1","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"PORTAL BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"POTOMAC LOWER","MERCURY","MERCURY","TOTAL","Not Listed","39","65","1","1","13","0","13","34","0.15","0.00113 - 1.33","No","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","MERCURY","MERCURY","TOTAL","Not Listed","26","39","0","0","13","0","13","No exceedance","0.15","0.00113 - 1.33","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC UPPER","MERCURY","MERCURY","TOTAL","Not Listed","26","26","1","1","13","0","13","18","0.15","0.00113 - 1.33","No","No exceedances","Not listed - take no action","15"
"ROCK CREEK LOWER","MERCURY","MERCURY","TOTAL","4a","22","22","1","1","13","0","13","21","0.15","0.00113 - 1.33","No","NA - not sampled","Remove from Category 4a","3"
"ROCK CREEK UPPER","MERCURY","MERCURY","TOTAL","4a","113","113","104","1","103","0","102","111","0.15","0.00113 - 1.33","No","NA - not sampled","Remove from Category 4a","3"
"SOAPSTONE CREEK","MERCURY","MERCURY","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"TEXAS AVENUE TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","11","11","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"TIDAL BASIN","MERCURY","MERCURY","TOTAL","Not Listed","10","10","1","1","0","0","0","8","0.15","0.00113 - 1.33","No","No exceedances","Not listed - take no action","15"
"WASHINGTON SHIP CHANNEL","MERCURY","MERCURY","TOTAL","Not Listed","17","29","0","0","16","0","12","No exceedance","0.15","0.00113 - 1.33","No exceedance","No exceedances","Not listed - take no action","15"
"WATTS BRANCH LOWER","MERCURY","MERCURY","TOTAL","Not Listed","14","14","1","0","3","0","3","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"WATTS BRANCH UPPER","MERCURY","MERCURY","TOTAL","Not Listed","124","137","101","0","115","0","114","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"BATTERY KEMBLE CREEK","MERCURY","MERCURY","TOTAL","Not Listed","10","10","2","2","0","0","0","4","0.15","0.00113 - 1.33","No","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","MERCURY","MERCURY","TOTAL","Not Listed","9","15","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","5","5","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","11","11","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","7","7","1","1","0","0","0","5","0.15","0.00113 - 1.33","No","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","ZINC","ZINC","TOTAL","4a","51","79","56","0","52","0","40","No exceedance","26000","0.0000846 - 0.000769","No exceedance","No exceedances","Remove from Category 4a","3"
"ANACOSTIA UPPER","ZINC","ZINC","TOTAL","4a","42","123","89","0","56","0","37","No exceedance","26000","0.0000846 - 0.000769","No exceedance","No exceedances","Remove from Category 4a","3"
"BROAD BRANCH","ZINC","ZINC","TOTAL","Not Listed","23","23","4","0","13","0","13","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","ZINC","ZINC","TOTAL","3","24","24","7","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","ZINC","ZINC","TOTAL","3","24","24","12","0","13","0","13","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","10"
"FENWICK BRANCH","ZINC","ZINC","TOTAL","3","11","11","2","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","ZINC","ZINC","TOTAL","3","31","31","26","0","19","0","16","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","10"
"FORT STANTON TRIBUTARY","ZINC","ZINC","TOTAL","Not Listed","42","43","32","0","20","0","16","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"HICKEY RUN","ZINC","ZINC","TOTAL","3","28","28","20","0","1","0","1","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","10"
"KINGMAN LAKE","ZINC","ZINC","TOTAL","3","37","65","55","0","25","0","15","No exceedance","26000","0.0000846 - 0.000769","No exceedance","No exceedances","Remove from Category 3","10"
"KLINGLE VALLEY","ZINC","ZINC","TOTAL","3","9","9","0","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","ZINC","ZINC","TOTAL","3","8","8","3","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","ZINC","ZINC","TOTAL","3","23","23","7","0","13","0","13","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","10"
"NASH RUN","ZINC","ZINC","TOTAL","3","15","16","15","0","7","0","3","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","10"
"NORMANSTONE CREEK","ZINC","ZINC","TOTAL","Not Listed","10","10","0","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","ZINC","ZINC","TOTAL","3","21","21","14","0","1","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","ZINC","ZINC","TOTAL","3","10","10","1","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","ZINC","ZINC","TOTAL","3","11","11","2","0","1","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","ZINC","ZINC","TOTAL","3","8","8","3","0","1","0","1","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","10"
"PORTAL BRANCH","ZINC","ZINC","TOTAL","3","10","10","6","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","ZINC","ZINC","TOTAL","Not Listed","65","108","33","0","13","0","13","No exceedance","26000","0.0000846 - 0.000769","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","ZINC","ZINC","TOTAL","Not Listed","40","53","15","0","13","0","13","No exceedance","26000","0.0000846 - 0.000769","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC UPPER","ZINC","ZINC","TOTAL","Not Listed","30","30","11","0","13","0","13","No exceedance","26000","0.0000846 - 0.000769","No exceedance","No exceedances","Not listed - take no action","15"
"ROCK CREEK LOWER","ZINC","ZINC","TOTAL","4a","43","43","22","0","13","0","13","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 4a","3"
"ROCK CREEK UPPER","ZINC","ZINC","TOTAL","Not Listed","32","32","9","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","ZINC","ZINC","TOTAL","3","10","10","1","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","ZINC","ZINC","TOTAL","Not Listed","27","27","26","0","6","0","3","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"TIDAL BASIN","ZINC","ZINC","TOTAL","Not Listed","33","33","13","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","No exceedances","Not listed - take no action","15"
"WASHINGTON SHIP CHANNEL","ZINC","ZINC","TOTAL","Not Listed","30","42","19","0","16","0","12","No exceedance","26000","0.0000846 - 0.000769","No exceedance","No exceedances","Not listed - take no action","15"
"WATTS BRANCH LOWER","ZINC","ZINC","TOTAL","Not Listed","26","26","17","0","3","0","3","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"WATTS BRANCH UPPER","ZINC","ZINC","TOTAL","Not Listed","38","63","46","0","13","0","13","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"BATTERY KEMBLE CREEK","ZINC","ZINC","TOTAL","3","27","27","9","0","1","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"C&O CANAL","ZINC","ZINC","TOTAL","Not Listed","26","46","13","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","ZINC","ZINC","TOTAL","Not Listed","27","27","20","0","6","0","3","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","ZINC","ZINC","TOTAL","Not Listed","30","30","27","0","6","0","3","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","ZINC","ZINC","TOTAL","Not Listed","9","10","10","0","2","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","4_4_DDD","DDD",NA,"4a","24","52","3","3","52","3","40","13","0.00012","1.67 - 43.3","Yes","No exceedances","Keep in Category 4a","1"
"ANACOSTIA UPPER","4_4_DDD","DDD",NA,"4a","17","105","21","21","105","21","86","0","0.00012","1.67 - 43.3","Yes","No exceedances","Keep in Category 4a","1"
"BROAD BRANCH","4_4_DDD","DDD",NA,"Not Listed","14","14","0","0","14","0","13","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","4_4_DDD","DDD",NA,"3","14","15","0","0","15","0","13","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Keep in Category 3","9"
"FENWICK BRANCH","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","16","17","1","1","17","1","13","11","0.00012","1.67 - 43.3","Yes","NA - not sampled","Move to Category 3","18"
"HICKEY RUN","4_4_DDD","DDD",NA,"3","5","6","0","0","6","0","3","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Keep in Category 3","9"
"KINGMAN LAKE","4_4_DDD","DDD",NA,"3","13","25","3","3","25","3","15","0","0.00012","1.67 - 43.3","Yes","No exceedances","Move to Category 5","7"
"KLINGLE VALLEY","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDD","DDD",NA,"3","14","14","1","1","14","1","13","9","0.00012","1.67 - 43.3","Yes","NA - not sampled","Keep in Category 3","12"
"NASH RUN","4_4_DDD","DDD",NA,"3","6","7","0","0","7","0","3","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Keep in Category 3","9"
"NORMANSTONE CREEK","4_4_DDD","DDD",NA,"Not Listed","1","1","0","0","1","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","4_4_DDD","DDD",NA,"Not Listed","1","1","0","0","1","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Not listed - take no action","15"
"PINEHURST BRANCH","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","4_4_DDD","DDD",NA,"3","6","7","0","0","7","0","4","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Keep in Category 3","9"
"PORTAL BRANCH","4_4_DDD","DDD",NA,"3","1","2","0","0","2","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","4_4_DDD","DDD",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.00012","1.67 - 43.3","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","4_4_DDD","DDD",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.00012","1.67 - 43.3","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC UPPER","4_4_DDD","DDD",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.00012","1.67 - 43.3","No exceedance","No exceedances","Not listed - take no action","15"
"ROCK CREEK LOWER","4_4_DDD","DDD",NA,"Not Listed","13","13","1","1","13","1","13","6","0.00012","1.67 - 43.3","Yes","NA - not sampled","Move to Category 3","18"
"ROCK CREEK UPPER","4_4_DDD","DDD",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","4_4_DDD","DDD",NA,"4a","6","6","6","6","6","6","3","0","0.00012","1.67 - 43.3","Yes","NA - not sampled","Keep in Category 4a","1"
"TIDAL BASIN","4_4_DDD","DDD",NA,"3","3","3","0","0","3","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","4_4_DDD","DDD",NA,"3","7","19","0","0","19","0","12","No exceedance","0.00012","1.67 - 43.3","No exceedance","No exceedances","Keep in Category 3","9"
"WATTS BRANCH LOWER","4_4_DDD","DDD",NA,"3","6","7","0","0","7","0","4","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Keep in Category 3","9"
"WATTS BRANCH UPPER","4_4_DDD","DDD",NA,"3","13","13","1","1","13","1","13","1","0.00012","1.67 - 43.3","Yes","NA - not sampled","Keep in Category 3","12"
"BATTERY KEMBLE CREEK","4_4_DDD","DDD",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","4_4_DDD","DDD",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","4_4_DDD","DDD",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","4_4_DDE","DDE",NA,"4a","24","52","0","0","52","0","40","No exceedance","1.8e-05","5.56 - 333","No exceedance","No exceedances","Move to Category 3","2"
"ANACOSTIA UPPER","4_4_DDE","DDE",NA,"4a","17","105","1","1","105","1","86","54","1.8e-05","5.56 - 333","Yes","No exceedances","Keep in Category 4a","5"
"BROAD BRANCH","4_4_DDE","DDE",NA,"Not Listed","14","14","0","0","14","0","13","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","4_4_DDE","DDE",NA,"3","1","1","0","0","1","0","0","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","4_4_DDE","DDE",NA,"3","14","15","1","1","15","1","13","10","1.8e-05","5.56 - 333","Yes","NA - not sampled","Keep in Category 3","12"
"FENWICK BRANCH","4_4_DDE","DDE",NA,"3","1","1","0","0","1","0","0","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","4_4_DDE","DDE",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","4_4_DDE","DDE",NA,"Not Listed","16","17","1","1","17","1","13","6","1.8e-05","5.56 - 333","Yes","NA - not sampled","Move to Category 3","18"
"HICKEY RUN","4_4_DDE","DDE",NA,"4a","5","6","1","1","6","1","3","3","1.8e-05","5.56 - 333","No","NA - not sampled","Keep in Category 4a","5"
"KINGMAN LAKE","4_4_DDE","DDE",NA,"3","13","25","0","0","25","0","15","No exceedance","1.8e-05","5.56 - 333","No exceedance","No exceedances","Keep in Category 3","9"
"KLINGLE VALLEY","4_4_DDE","DDE",NA,"3","1","1","0","0","1","0","0","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","4_4_DDE","DDE",NA,"3","1","1","0","0","1","0","0","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDE","DDE",NA,"3","14","14","1","1","14","1","13","9","1.8e-05","5.56 - 333","Yes","NA - not sampled","Keep in Category 3","12"
"NASH RUN","4_4_DDE","DDE",NA,"3","6","7","0","0","7","0","3","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Keep in Category 3","9"
"NORMANSTONE CREEK","4_4_DDE","DDE",NA,"Not Listed","1","1","0","0","1","0","0","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","4_4_DDE","DDE",NA,"Not Listed","1","1","0","0","1","0","0","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Not listed - take no action","15"
"PINEHURST BRANCH","4_4_DDE","DDE",NA,"3","2","2","0","0","1","0","0","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","4_4_DDE","DDE",NA,"3","1","1","0","0","1","0","0","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","4_4_DDE","DDE",NA,"4a","6","7","1","1","7","1","4","4","1.8e-05","5.56 - 333","No","NA - not sampled","Keep in Category 4a","5"
"PORTAL BRANCH","4_4_DDE","DDE",NA,"3","1","2","0","0","2","0","0","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","4_4_DDE","DDE",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","1.8e-05","5.56 - 333","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","4_4_DDE","DDE",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","1.8e-05","5.56 - 333","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC UPPER","4_4_DDE","DDE",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","1.8e-05","5.56 - 333","No exceedance","No exceedances","Not listed - take no action","15"
"ROCK CREEK LOWER","4_4_DDE","DDE",NA,"Not Listed","14","14","2","2","13","2","13","6","1.8e-05","5.56 - 333","Yes","NA - not sampled","Move to Category 5","14"
"ROCK CREEK UPPER","4_4_DDE","DDE",NA,"Not Listed","18","19","0","0","0","0","0","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","4_4_DDE","DDE",NA,"3","1","1","0","0","1","0","0","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","4_4_DDE","DDE",NA,"4a","6","6","3","3","6","3","3","0","1.8e-05","5.56 - 333","Yes","NA - not sampled","Keep in Category 4a","1"
"TIDAL BASIN","4_4_DDE","DDE",NA,"3","3","3","0","0","3","0","0","No exceedance","1.8e-05","5.56 - 333","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","4_4_DDE","DDE",NA,"3","7","19","0","0","19","0","12","No exceedance","1.8e-05","5.56 - 333","No exceedance","No exceedances","Keep in Category 3","9"
"WATTS BRANCH LOWER","4_4_DDE","DDE",NA,"3","6","7","0","0","7","0","4","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Keep in Category 3","9"
"WATTS BRANCH UPPER","4_4_DDE","DDE",NA,"3","13","13","0","0","13","0","13","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Keep in Category 3","9"
"BATTERY KEMBLE CREEK","4_4_DDE","DDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","4_4_DDE","DDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","4_4_DDE","DDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","4_4_DDE","DDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","4_4_DDE","DDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1.8e-05","5.56 - 333","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","4_4_DDT","DDT",NA,"4a","24","52","5","5","52","5","40","0","3e-05","9.33 - 123","Yes","No exceedances","Keep in Category 4a","1"
"ANACOSTIA UPPER","4_4_DDT","DDT",NA,"4a","17","105","16","16","105","16","86","23","3e-05","9.33 - 123","Yes","No exceedances","Keep in Category 4a","1"
"BROAD BRANCH","4_4_DDT","DDT",NA,"Not Listed","14","14","2","2","14","2","13","3","3e-05","9.33 - 123","Yes","NA - not sampled","Move to Category 5","14"
"DALECARLIA TRIBUTARY","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","4_4_DDT","DDT",NA,"3","14","15","3","3","15","3","13","9","3e-05","9.33 - 123","Yes","NA - not sampled","Move to Category 5","7"
"FENWICK BRANCH","4_4_DDT","DDT",NA,"4a","1","1","1","1","1","1","0","0","3e-05","9.33 - 123","No","NA - not sampled","Keep in Category 4a","4"
"FORT DUPONT TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","13","13","1","1","13","1","13","9","3e-05","9.33 - 123","Yes","NA - not sampled","Move to Category 3","18"
"FORT STANTON TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","16","17","0","0","17","0","13","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Not listed - take no action","15"
"HICKEY RUN","4_4_DDT","DDT",NA,"3","5","6","0","0","6","0","3","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Keep in Category 3","9"
"KINGMAN LAKE","4_4_DDT","DDT",NA,"4a","13","25","3","3","25","3","15","3","3e-05","9.33 - 123","Yes","No exceedances","Keep in Category 4a","1"
"KLINGLE VALLEY","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDT","DDT",NA,"3","14","14","2","2","14","2","13","10","3e-05","9.33 - 123","Yes","NA - not sampled","Move to Category 5","7"
"NASH RUN","4_4_DDT","DDT",NA,"3","6","7","0","0","7","0","3","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Keep in Category 3","9"
"NORMANSTONE CREEK","4_4_DDT","DDT",NA,"Not Listed","1","1","0","0","1","0","0","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","4_4_DDT","DDT",NA,"3","6","7","0","0","7","0","4","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Keep in Category 3","9"
"PORTAL BRANCH","4_4_DDT","DDT",NA,"3","1","2","0","0","2","0","0","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","4_4_DDT","DDT",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","3e-05","9.33 - 123","No exceedance","No exceedances","Not listed - take no action","15"
