"Waterbody","Pollutant","Pollutant Group","Current Categorization in 2020 IR","Class C Decision","Class C Case #","Class D Decision","Class D Case #","Reconciliation of Class C and Class D Categorization Decision"
"ANACOSTIA LOWER","4_4_DDE","DDE","4a","Move to Category 3",2,"Move to Category 3",2,"Move to Category 3"
"ANACOSTIA UPPER","4_4_DDE","DDE","4a","Keep in Category 4a",5,"Keep in Category 4a",5,"Keep in Category 4a"
"BROAD BRANCH","4_4_DDE","DDE","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"DALECARLIA TRIBUTARY","4_4_DDE","DDE","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"DUMBARTON OAKS","4_4_DDE","DDE","3","Keep in Category 3",12,"Keep in Category 3",12,"Keep in Category 3"
"FENWICK BRANCH","4_4_DDE","DDE","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"FORT DUPONT TRIBUTARY","4_4_DDE","DDE","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT STANTON TRIBUTARY","4_4_DDE","DDE","Not Listed","Not listed - take no action",15,"Move to Category 3",18,"Move to Category 3"
"HICKEY RUN","4_4_DDE","DDE","4a","Move to Category 3",2,"Keep in Category 4a",5,"Keep in Category 4a"
"KINGMAN LAKE","4_4_DDE","DDE","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"KLINGLE VALLEY","4_4_DDE","DDE","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"LUZON BRANCH","4_4_DDE","DDE","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDE","DDE","3","Keep in Category 3",12,"Keep in Category 3",12,"Keep in Category 3"
"NASH RUN","4_4_DDE","DDE","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"NORMANSTONE CREEK","4_4_DDE","DDE","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"OXON RUN","4_4_DDE","DDE","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"PINEHURST BRANCH","4_4_DDE","DDE","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"PINEY BRANCH","4_4_DDE","DDE","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"POPE BRANCH","4_4_DDE","DDE","4a","Move to Category 3",2,"Keep in Category 4a",5,"Keep in Category 4a"
"PORTAL BRANCH","4_4_DDE","DDE","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"POTOMAC LOWER","4_4_DDE","DDE","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC MIDDLE","4_4_DDE","DDE","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC UPPER","4_4_DDE","DDE","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ROCK CREEK LOWER","4_4_DDE","DDE","Not Listed","Move to Category 5",14,"Move to Category 5",14,"Move to Category 5"
"ROCK CREEK UPPER","4_4_DDE","DDE","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"SOAPSTONE CREEK","4_4_DDE","DDE","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","4_4_DDE","DDE","4a","Keep in Category 4a",5,"Keep in Category 4a",1,"Keep in Category 4a"
"TIDAL BASIN","4_4_DDE","DDE","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"WASHINGTON SHIP CHANNEL","4_4_DDE","DDE","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"WATTS BRANCH LOWER","4_4_DDE","DDE","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"WATTS BRANCH UPPER","4_4_DDE","DDE","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"BATTERY KEMBLE CREEK","4_4_DDE","DDE","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"C&O CANAL","4_4_DDE","DDE","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","4_4_DDE","DDE","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","4_4_DDE","DDE","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","4_4_DDE","DDE","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA LOWER","4_4_DDT","DDT","4a","Keep in Category 4a",1,"Keep in Category 4a",1,"Keep in Category 4a"
"ANACOSTIA UPPER","4_4_DDT","DDT","4a","Keep in Category 4a",1,"Keep in Category 4a",1,"Keep in Category 4a"
"BROAD BRANCH","4_4_DDT","DDT","Not Listed","Move to Category 3",18,"Move to Category 5",14,"Move to Category 5"
"DALECARLIA TRIBUTARY","4_4_DDT","DDT","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"DUMBARTON OAKS","4_4_DDT","DDT","3","Move to Category 5",7,"Move to Category 5",7,"Move to Category 5"
"FENWICK BRANCH","4_4_DDT","DDT","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"FORT DUPONT TRIBUTARY","4_4_DDT","DDT","Not Listed","Move to Category 3",18,"Move to Category 3",18,"Move to Category 3"
"FORT STANTON TRIBUTARY","4_4_DDT","DDT","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"HICKEY RUN","4_4_DDT","DDT","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"KINGMAN LAKE","4_4_DDT","DDT","4a","Keep in Category 4a",1,"Keep in Category 4a",1,"Keep in Category 4a"
"KLINGLE VALLEY","4_4_DDT","DDT","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"LUZON BRANCH","4_4_DDT","DDT","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDT","DDT","3","Move to Category 5",7,"Move to Category 5",7,"Move to Category 5"
"NASH RUN","4_4_DDT","DDT","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"NORMANSTONE CREEK","4_4_DDT","DDT","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"OXON RUN","4_4_DDT","DDT","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"PINEHURST BRANCH","4_4_DDT","DDT","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"PINEY BRANCH","4_4_DDT","DDT","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"POPE BRANCH","4_4_DDT","DDT","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"PORTAL BRANCH","4_4_DDT","DDT","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"POTOMAC LOWER","4_4_DDT","DDT","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC MIDDLE","4_4_DDT","DDT","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC UPPER","4_4_DDT","DDT","Not Listed","Move to Category 3",18,"Move to Category 3",18,"Move to Category 3"
"ROCK CREEK LOWER","4_4_DDT","DDT","Not Listed","Move to Category 3",18,"Move to Category 3",18,"Move to Category 3"
"ROCK CREEK UPPER","4_4_DDT","DDT","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"SOAPSTONE CREEK","4_4_DDT","DDT","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","4_4_DDT","DDT","4a","Keep in Category 4a",5,"Keep in Category 4a",5,"Keep in Category 4a"
"TIDAL BASIN","4_4_DDT","DDT","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"WASHINGTON SHIP CHANNEL","4_4_DDT","DDT","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"WATTS BRANCH LOWER","4_4_DDT","DDT","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"WATTS BRANCH UPPER","4_4_DDT","DDT","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"BATTERY KEMBLE CREEK","4_4_DDT","DDT","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"C&O CANAL","4_4_DDT","DDT","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","4_4_DDT","DDT","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","4_4_DDT","DDT","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","4_4_DDT","DDT","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA LOWER","ACENAPHTHENE","PAH1","4a","Remove from Category 4a",3,"Remove from Category 4a",3,"Remove from Category 4a"
"ANACOSTIA UPPER","ACENAPHTHENE","PAH1","4a","Remove from Category 4a",3,"Remove from Category 4a",3,"Remove from Category 4a"
"BROAD BRANCH","ACENAPHTHENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"DALECARLIA TRIBUTARY","ACENAPHTHENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"DUMBARTON OAKS","ACENAPHTHENE","PAH1","3","Remove from Category 3",10,"Remove from Category 3",10,"Remove from Category 3"
"FENWICK BRANCH","ACENAPHTHENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"FORT DUPONT TRIBUTARY","ACENAPHTHENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT STANTON TRIBUTARY","ACENAPHTHENE","PAH1","4a","Remove from Category 4a",3,"Remove from Category 4a",3,"Remove from Category 4a"
"HICKEY RUN","ACENAPHTHENE","PAH1","4a","Remove from Category 4a",3,"Remove from Category 4a",3,"Remove from Category 4a"
"KINGMAN LAKE","ACENAPHTHENE","PAH1","4a","Remove from Category 4a",3,"Remove from Category 4a",3,"Remove from Category 4a"
"KLINGLE VALLEY","ACENAPHTHENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"LUZON BRANCH","ACENAPHTHENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","ACENAPHTHENE","PAH1","3","Remove from Category 3",10,"Remove from Category 3",10,"Remove from Category 3"
"NASH RUN","ACENAPHTHENE","PAH1","4a","Remove from Category 4a",3,"Remove from Category 4a",3,"Remove from Category 4a"
"NORMANSTONE CREEK","ACENAPHTHENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"OXON RUN","ACENAPHTHENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"PINEHURST BRANCH","ACENAPHTHENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"PINEY BRANCH","ACENAPHTHENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"POPE BRANCH","ACENAPHTHENE","PAH1","4a","Remove from Category 4a",3,"Remove from Category 4a",3,"Remove from Category 4a"
"PORTAL BRANCH","ACENAPHTHENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"POTOMAC LOWER","ACENAPHTHENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC MIDDLE","ACENAPHTHENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC UPPER","ACENAPHTHENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ROCK CREEK LOWER","ACENAPHTHENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ROCK CREEK UPPER","ACENAPHTHENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"SOAPSTONE CREEK","ACENAPHTHENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","ACENAPHTHENE","PAH1","4a","Remove from Category 4a",3,"Remove from Category 4a",3,"Remove from Category 4a"
"TIDAL BASIN","ACENAPHTHENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"WASHINGTON SHIP CHANNEL","ACENAPHTHENE","PAH1","3","Remove from Category 3",10,"Remove from Category 3",10,"Remove from Category 3"
"WATTS BRANCH LOWER","ACENAPHTHENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"WATTS BRANCH UPPER","ACENAPHTHENE","PAH1","3","Remove from Category 3",10,"Remove from Category 3",10,"Remove from Category 3"
"BATTERY KEMBLE CREEK","ACENAPHTHENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"C&O CANAL","ACENAPHTHENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","ACENAPHTHENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","ACENAPHTHENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","ACENAPHTHENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA LOWER","ANTHRACENE","PAH1","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"ANACOSTIA UPPER","ANTHRACENE","PAH1","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"BROAD BRANCH","ANTHRACENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"DALECARLIA TRIBUTARY","ANTHRACENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"DUMBARTON OAKS","ANTHRACENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",10,"Remove from Category 3"
"FENWICK BRANCH","ANTHRACENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"FORT DUPONT TRIBUTARY","ANTHRACENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT STANTON TRIBUTARY","ANTHRACENE","PAH1","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"HICKEY RUN","ANTHRACENE","PAH1","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"KINGMAN LAKE","ANTHRACENE","PAH1","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"KLINGLE VALLEY","ANTHRACENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"LUZON BRANCH","ANTHRACENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","ANTHRACENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",10,"Remove from Category 3"
"NASH RUN","ANTHRACENE","PAH1","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"NORMANSTONE CREEK","ANTHRACENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"OXON RUN","ANTHRACENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"PINEHURST BRANCH","ANTHRACENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"PINEY BRANCH","ANTHRACENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"POPE BRANCH","ANTHRACENE","PAH1","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"PORTAL BRANCH","ANTHRACENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"POTOMAC LOWER","ANTHRACENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC MIDDLE","ANTHRACENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC UPPER","ANTHRACENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"ROCK CREEK LOWER","ANTHRACENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"ROCK CREEK UPPER","ANTHRACENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"SOAPSTONE CREEK","ANTHRACENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","ANTHRACENE","PAH1","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"TIDAL BASIN","ANTHRACENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"WASHINGTON SHIP CHANNEL","ANTHRACENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",10,"Remove from Category 3"
"WATTS BRANCH LOWER","ANTHRACENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"WATTS BRANCH UPPER","ANTHRACENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",10,"Remove from Category 3"
"BATTERY KEMBLE CREEK","ANTHRACENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"C&O CANAL","ANTHRACENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","ANTHRACENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","ANTHRACENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","ANTHRACENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA LOWER","BENZO_A_ANTHRACENE","PAH2","4a","Remove from Category 4a",0,"Keep in Category 4a",1,"Keep in Category 4a"
"ANACOSTIA UPPER","BENZO_A_ANTHRACENE","PAH2","4a","Remove from Category 4a",0,"Keep in Category 4a",1,"Keep in Category 4a"
"BROAD BRANCH","BENZO_A_ANTHRACENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"DALECARLIA TRIBUTARY","BENZO_A_ANTHRACENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"DUMBARTON OAKS","BENZO_A_ANTHRACENE","PAH2","3","Remove from Category 3",0,"Keep in Category 3",9,"Keep in Category 3"
"FENWICK BRANCH","BENZO_A_ANTHRACENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"FORT DUPONT TRIBUTARY","BENZO_A_ANTHRACENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT STANTON TRIBUTARY","BENZO_A_ANTHRACENE","PAH2","4a","Remove from Category 4a",0,"Keep in Category 4a",5,"Keep in Category 4a"
"HICKEY RUN","BENZO_A_ANTHRACENE","PAH2","4a","Remove from Category 4a",0,"Keep in Category 4a",1,"Keep in Category 4a"
"KINGMAN LAKE","BENZO_A_ANTHRACENE","PAH2","4a","Remove from Category 4a",0,"Keep in Category 4a",1,"Keep in Category 4a"
"KLINGLE VALLEY","BENZO_A_ANTHRACENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"LUZON BRANCH","BENZO_A_ANTHRACENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","BENZO_A_ANTHRACENE","PAH2","3","Remove from Category 3",0,"Keep in Category 3",9,"Keep in Category 3"
"NASH RUN","BENZO_A_ANTHRACENE","PAH2","4a","Remove from Category 4a",0,"Keep in Category 4a",1,"Keep in Category 4a"
"NORMANSTONE CREEK","BENZO_A_ANTHRACENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"OXON RUN","BENZO_A_ANTHRACENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"PINEHURST BRANCH","BENZO_A_ANTHRACENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"PINEY BRANCH","BENZO_A_ANTHRACENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"POPE BRANCH","BENZO_A_ANTHRACENE","PAH2","4a","Remove from Category 4a",0,"Keep in Category 4a",5,"Keep in Category 4a"
"PORTAL BRANCH","BENZO_A_ANTHRACENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"POTOMAC LOWER","BENZO_A_ANTHRACENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC MIDDLE","BENZO_A_ANTHRACENE","PAH2","Not Listed","Not listed - take no action",0,"Move to Category 3",18,"Move to Category 3"
"POTOMAC UPPER","BENZO_A_ANTHRACENE","PAH2","Not Listed","Not listed - take no action",0,"Move to Category 3",18,"Move to Category 3"
"ROCK CREEK LOWER","BENZO_A_ANTHRACENE","PAH2","Not Listed","Not listed - take no action",0,"Move to Category 3",18,"Move to Category 3"
"ROCK CREEK UPPER","BENZO_A_ANTHRACENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"SOAPSTONE CREEK","BENZO_A_ANTHRACENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","BENZO_A_ANTHRACENE","PAH2","4a","Remove from Category 4a",0,"Keep in Category 4a",5,"Keep in Category 4a"
"TIDAL BASIN","BENZO_A_ANTHRACENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"WASHINGTON SHIP CHANNEL","BENZO_A_ANTHRACENE","PAH2","3","Remove from Category 3",0,"Move to Category 5",7,"Move to Category 5"
"WATTS BRANCH LOWER","BENZO_A_ANTHRACENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"WATTS BRANCH UPPER","BENZO_A_ANTHRACENE","PAH2","3","Remove from Category 3",0,"Keep in Category 3",9,"Keep in Category 3"
"BATTERY KEMBLE CREEK","BENZO_A_ANTHRACENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"C&O CANAL","BENZO_A_ANTHRACENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","BENZO_A_ANTHRACENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","BENZO_A_ANTHRACENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","BENZO_A_ANTHRACENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA LOWER","BENZO_A_PYRENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",1,"Keep in Category 4a"
"ANACOSTIA UPPER","BENZO_A_PYRENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",1,"Keep in Category 4a"
"BROAD BRANCH","BENZO_A_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Move to Category 3",18,"Move to Category 3"
"DALECARLIA TRIBUTARY","BENZO_A_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"DUMBARTON OAKS","BENZO_A_PYRENE","PAH3","3","Remove from Category 3",0,"Keep in Category 3",9,"Keep in Category 3"
"FENWICK BRANCH","BENZO_A_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"FORT DUPONT TRIBUTARY","BENZO_A_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT STANTON TRIBUTARY","BENZO_A_PYRENE","PAH3","4a","Remove from Category 4a",0,"Move to Category 3",2,"Move to Category 3"
"HICKEY RUN","BENZO_A_PYRENE","PAH3","4a","Remove from Category 4a",0,"Move to Category 3",2,"Move to Category 3"
"KINGMAN LAKE","BENZO_A_PYRENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",1,"Keep in Category 4a"
"KLINGLE VALLEY","BENZO_A_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"LUZON BRANCH","BENZO_A_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","BENZO_A_PYRENE","PAH3","3","Remove from Category 3",0,"Keep in Category 3",9,"Keep in Category 3"
"NASH RUN","BENZO_A_PYRENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",1,"Keep in Category 4a"
"NORMANSTONE CREEK","BENZO_A_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"OXON RUN","BENZO_A_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"PINEHURST BRANCH","BENZO_A_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"PINEY BRANCH","BENZO_A_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"POPE BRANCH","BENZO_A_PYRENE","PAH3","4a","Remove from Category 4a",0,"Move to Category 3",2,"Move to Category 3"
"PORTAL BRANCH","BENZO_A_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"POTOMAC LOWER","BENZO_A_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC MIDDLE","BENZO_A_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Move to Category 3",18,"Move to Category 3"
"POTOMAC UPPER","BENZO_A_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Move to Category 3",18,"Move to Category 3"
"ROCK CREEK LOWER","BENZO_A_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"ROCK CREEK UPPER","BENZO_A_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"SOAPSTONE CREEK","BENZO_A_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","BENZO_A_PYRENE","PAH3","4a","Remove from Category 4a",0,"Move to Category 3",2,"Move to Category 3"
