"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples 1990-2021","# Detects 1990-2021","# Exceedances 1990-2021","# of Samples Within Last 10 Years (2011-2021)","# of Exceedances Within Last 10 Years (2011 - 2021)","# of Samples Within Last 5 Years (2016 - 2021)","# Samples Since Last Exceedance","Class C CCC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CCC","Class C CMC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CMC","Was Last Exceedance Within Current 5-year Assessment Period (2016 - 2021)?","Reevaluation Categorization Decision for Class C","Decision Logic Case #"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDE","DDE",NA,"3","14","14","1","1","14","1","13","9","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","Yes","Keep in Category 3","12"
"NASH RUN","4_4_DDE","DDE",NA,"3","6","7","0","0","7","0","3","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Keep in Category 3","9"
"NORMANSTONE CREEK","4_4_DDE","DDE",NA,"Not Listed","1","1","0","0","1","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Not listed - take no action","15"
"OXON RUN","4_4_DDE","DDE",NA,"Not Listed","1","1","0","0","1","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Not listed - take no action","15"
"PINEHURST BRANCH","4_4_DDE","DDE",NA,"3","2","2","0","0","1","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Remove from Category 3","8"
"PINEY BRANCH","4_4_DDE","DDE",NA,"3","1","1","0","0","1","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Remove from Category 3","8"
"POPE BRANCH","4_4_DDE","DDE",NA,"4a","6","7","1","0","7","0","4","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Move to Category 3","2"
"PORTAL BRANCH","4_4_DDE","DDE",NA,"3","1","2","0","0","2","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Remove from Category 3","8"
"POTOMAC LOWER","4_4_DDE","DDE",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Not listed - take no action","15"
"POTOMAC MIDDLE","4_4_DDE","DDE",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","4_4_DDE","DDE",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Not listed - take no action","15"
"ROCK CREEK LOWER","4_4_DDE","DDE",NA,"Not Listed","14","14","2","2","13","2","13","6","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","Yes","Move to Category 5","14"
"ROCK CREEK UPPER","4_4_DDE","DDE",NA,"Not Listed","18","19","0","0","0","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Not listed - take no action","15"
"SOAPSTONE CREEK","4_4_DDE","DDE",NA,"3","1","1","0","0","1","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","4_4_DDE","DDE",NA,"4a","6","6","3","1","6","1","3","3","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No","Keep in Category 4a","5"
"TIDAL BASIN","4_4_DDE","DDE",NA,"3","3","3","0","0","3","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","4_4_DDE","DDE",NA,"3","7","19","0","0","19","0","12","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Keep in Category 3","9"
"WATTS BRANCH LOWER","4_4_DDE","DDE",NA,"3","6","7","0","0","7","0","4","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Keep in Category 3","9"
"WATTS BRANCH UPPER","4_4_DDE","DDE",NA,"3","13","13","0","0","13","0","13","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Keep in Category 3","9"
"BATTERY KEMBLE CREEK","4_4_DDE","DDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Not listed - take no action","15"
"C&O CANAL","4_4_DDE","DDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","4_4_DDE","DDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","4_4_DDE","DDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Not listed - take no action","15"
"FOUNDRY BRANCH","4_4_DDE","DDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.1 - 6","1.1000000000000001","0.0000909 - 0.00545","No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","4_4_DDT","DDT",NA,"4a","24","52","5","2","52","2","40","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Keep in Category 4a","1"
"ANACOSTIA UPPER","4_4_DDT","DDT",NA,"4a","17","105","16","12","105","12","86","23","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Keep in Category 4a","1"
"BROAD BRANCH","4_4_DDT","DDT",NA,"Not Listed","14","14","2","1","14","1","13","6","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Move to Category 3","18"
"DALECARLIA TRIBUTARY","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Remove from Category 3","8"
"DUMBARTON OAKS","4_4_DDT","DDT",NA,"3","14","15","3","2","15","2","13","9","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Move to Category 5","7"
"FENWICK BRANCH","4_4_DDT","DDT",NA,"4a","1","1","1","0","1","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Move to Category 3","2"
"FORT DUPONT TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","13","13","1","1","13","1","13","9","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Move to Category 3","18"
"FORT STANTON TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","16","17","0","0","17","0","13","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Not listed - take no action","15"
"HICKEY RUN","4_4_DDT","DDT",NA,"3","5","6","0","0","6","0","3","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Keep in Category 3","9"
"KINGMAN LAKE","4_4_DDT","DDT",NA,"4a","13","25","3","2","25","2","15","10","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Keep in Category 4a","1"
"KLINGLE VALLEY","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Remove from Category 3","8"
"LUZON BRANCH","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDT","DDT",NA,"3","14","14","2","2","14","2","13","10","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Move to Category 5","7"
"NASH RUN","4_4_DDT","DDT",NA,"3","6","7","0","0","7","0","3","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Keep in Category 3","9"
"NORMANSTONE CREEK","4_4_DDT","DDT",NA,"Not Listed","1","1","0","0","1","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Not listed - take no action","15"
"OXON RUN","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Remove from Category 3","8"
"PINEHURST BRANCH","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Remove from Category 3","8"
"PINEY BRANCH","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Remove from Category 3","8"
"POPE BRANCH","4_4_DDT","DDT",NA,"3","6","7","0","0","7","0","4","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Keep in Category 3","9"
"PORTAL BRANCH","4_4_DDT","DDT",NA,"3","1","2","0","0","2","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Remove from Category 3","8"
"POTOMAC LOWER","4_4_DDT","DDT",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Not listed - take no action","15"
"POTOMAC MIDDLE","4_4_DDT","DDT",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","4_4_DDT","DDT",NA,"Not Listed","13","13","1","1","13","1","13","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Move to Category 3","18"
"ROCK CREEK LOWER","4_4_DDT","DDT",NA,"Not Listed","13","13","1","1","13","1","13","6","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Move to Category 3","18"
"ROCK CREEK UPPER","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Not listed - take no action","15"
"SOAPSTONE CREEK","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","4_4_DDT","DDT",NA,"4a","6","6","1","1","6","1","3","3","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No","Keep in Category 4a","5"
"TIDAL BASIN","4_4_DDT","DDT",NA,"3","3","3","0","0","3","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","4_4_DDT","DDT",NA,"3","7","19","0","0","19","0","12","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Keep in Category 3","9"
"WATTS BRANCH LOWER","4_4_DDT","DDT",NA,"3","6","7","0","0","7","0","4","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Keep in Category 3","9"
"WATTS BRANCH UPPER","4_4_DDT","DDT",NA,"3","13","13","0","0","13","0","13","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Keep in Category 3","9"
"BATTERY KEMBLE CREEK","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Not listed - take no action","15"
"C&O CANAL","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Not listed - take no action","15"
"FOUNDRY BRANCH","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","ACENAPHTHENE","PAH1",NA,"4a","24","52","0","0","52","0","40","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"ANACOSTIA UPPER","ACENAPHTHENE","PAH1",NA,"4a","14","56","2","0","56","0","37","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"BROAD BRANCH","ACENAPHTHENE","PAH1",NA,"Not Listed","14","14","0","0","14","0","13","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"DUMBARTON OAKS","ACENAPHTHENE","PAH1",NA,"3","14","15","0","0","15","0","13","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","10"
"FENWICK BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","ACENAPHTHENE","PAH1",NA,"4a","19","20","0","0","20","0","16","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"HICKEY RUN","ACENAPHTHENE","PAH1",NA,"4a","5","6","2","0","6","0","3","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"KINGMAN LAKE","ACENAPHTHENE","PAH1",NA,"4a","13","25","0","0","25","0","15","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"KLINGLE VALLEY","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"LUZON BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","ACENAPHTHENE","PAH1",NA,"3","14","14","0","0","14","0","13","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","10"
"NASH RUN","ACENAPHTHENE","PAH1",NA,"4a","6","7","2","0","7","0","3","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"NORMANSTONE CREEK","ACENAPHTHENE","PAH1",NA,"Not Listed","1","1","0","0","1","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"OXON RUN","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"PINEHURST BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"PINEY BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"POPE BRANCH","ACENAPHTHENE","PAH1",NA,"4a","6","7","0","0","7","0","4","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"PORTAL BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","2","0","0","2","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"POTOMAC LOWER","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"POTOMAC MIDDLE","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"ROCK CREEK LOWER","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"ROCK CREEK UPPER","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"SOAPSTONE CREEK","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","ACENAPHTHENE","PAH1",NA,"4a","6","6","0","0","6","0","3","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"TIDAL BASIN","ACENAPHTHENE","PAH1",NA,"3","3","3","0","0","3","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","ACENAPHTHENE","PAH1",NA,"3","7","19","0","0","19","0","12","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","10"
"WATTS BRANCH LOWER","ACENAPHTHENE","PAH1",NA,"3","3","3","0","0","3","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","8"
"WATTS BRANCH UPPER","ACENAPHTHENE","PAH1",NA,"3","13","13","0","0","13","0","13","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Remove from Category 3","10"
"BATTERY KEMBLE CREEK","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"C&O CANAL","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"FOUNDRY BRANCH","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,"No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","ANTHRACENE","PAH1",NA,"4a","24","52","0","N/A - no Class C WQ criteria","52","N/A - no Class C WQ criteria","40","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"ANACOSTIA UPPER","ANTHRACENE","PAH1",NA,"4a","14","56","3","N/A - no Class C WQ criteria","56","N/A - no Class C WQ criteria","37","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"BROAD BRANCH","ANTHRACENE","PAH1",NA,"Not Listed","15","15","0","N/A - no Class C WQ criteria","14","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"DALECARLIA TRIBUTARY","ANTHRACENE","PAH1",NA,"3","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"DUMBARTON OAKS","ANTHRACENE","PAH1",NA,"3","15","16","0","N/A - no Class C WQ criteria","15","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FENWICK BRANCH","ANTHRACENE","PAH1",NA,"3","2","2","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FORT DUPONT TRIBUTARY","ANTHRACENE","PAH1",NA,"Not Listed","13","13","0","N/A - no Class C WQ criteria","13","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT STANTON TRIBUTARY","ANTHRACENE","PAH1",NA,"4a","19","20","0","N/A - no Class C WQ criteria","20","N/A - no Class C WQ criteria","16","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"HICKEY RUN","ANTHRACENE","PAH1",NA,"4a","5","6","2","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KINGMAN LAKE","ANTHRACENE","PAH1",NA,"4a","13","25","2","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","15","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KLINGLE VALLEY","ANTHRACENE","PAH1",NA,"3","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"LUZON BRANCH","ANTHRACENE","PAH1",NA,"3","2","3","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"MELVIN HAZEN VALLEY BRANCH","ANTHRACENE","PAH1",NA,"3","14","14","0","N/A - no Class C WQ criteria","14","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"NASH RUN","ANTHRACENE","PAH1",NA,"4a","6","7","2","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"NORMANSTONE CREEK","ANTHRACENE","PAH1",NA,"Not Listed","2","2","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"OXON RUN","ANTHRACENE","PAH1",NA,"3","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEHURST BRANCH","ANTHRACENE","PAH1",NA,"3","2","4","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEY BRANCH","ANTHRACENE","PAH1",NA,"3","2","3","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POPE BRANCH","ANTHRACENE","PAH1",NA,"4a","6","7","0","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","4","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"PORTAL BRANCH","ANTHRACENE","PAH1",NA,"3","1","2","0","N/A - no Class C WQ criteria","2","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POTOMAC LOWER","ANTHRACENE","PAH1",NA,"Not Listed","13","13","0","N/A - no Class C WQ criteria","13","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC MIDDLE","ANTHRACENE","PAH1",NA,"Not Listed","13","13","0","N/A - no Class C WQ criteria","13","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC UPPER","ANTHRACENE","PAH1",NA,"Not Listed","13","13","0","N/A - no Class C WQ criteria","13","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK LOWER","ANTHRACENE","PAH1",NA,"Not Listed","14","21","0","N/A - no Class C WQ criteria","13","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK UPPER","ANTHRACENE","PAH1",NA,"Not Listed","6","23","4","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"SOAPSTONE CREEK","ANTHRACENE","PAH1",NA,"3","2","2","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"TEXAS AVENUE TRIBUTARY","ANTHRACENE","PAH1",NA,"4a","6","6","1","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"TIDAL BASIN","ANTHRACENE","PAH1",NA,"3","3","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WASHINGTON SHIP CHANNEL","ANTHRACENE","PAH1",NA,"3","7","19","1","N/A - no Class C WQ criteria","19","N/A - no Class C WQ criteria","12","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH LOWER","ANTHRACENE","PAH1",NA,"3","3","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH UPPER","ANTHRACENE","PAH1",NA,"3","13","13","0","N/A - no Class C WQ criteria","13","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"BATTERY KEMBLE CREEK","ANTHRACENE","PAH1",NA,"Not Listed","0","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
