Waterbody,Parameter,Impairment Status,Year,Include,Number of Samples,Number of detects,Number of Detects,Number of likely unflagged NDs,% of samples DL > CCC,CCC_e,CMC_e,D_e,min_e,max_e,CCC_ef,CMC_ef,D_ef
Potomac Middle,DDD,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Potomac Middle,DDE,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Potomac Middle,DDT,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Potomac Middle,Chlordane,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Potomac Middle,Dieldrin,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Potomac Middle,Heptachlor epoxide,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Potomac Middle,PAH1,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Potomac Middle,PAH2,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Potomac Middle,PAH3,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Potomac Upper,Arsenic,,1991,,8,,8,8,0,0,0,0,0,0,0,0,0
Potomac Upper,Copper,,1991,,8,,8,8,650,0,0,0,0,0,0,0,0
Potomac Upper,Lead,,1991,,8,,8,0,1000,8,0,0,0,0,1,0,0
Potomac Upper,Zinc,,1991,,4,,4,2,0,1,1,0,0,0,0.25,0.25,0
Potomac Upper,DDD,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Potomac Upper,DDE,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Potomac Upper,DDT,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Potomac Upper,Chlordane,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Potomac Upper,Dieldrin,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Potomac Upper,Heptachlor epoxide,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Potomac Upper,PAH1,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Potomac Upper,PAH2,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Potomac Upper,PAH3,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Rock Creek Lower,Arsenic,,1991,,2,,2,2,0,0,0,0,0,0,0,0,0
Rock Creek Lower,Copper,,1991,,2,,2,2,1500,0,0,0,0,0,0,0,0
Rock Creek Lower,Lead,,1991,,2,,2,0,2200,2,0,0,0,0,1,0,0
Rock Creek Lower,Zinc,,1991,,2,,2,1,0,0,0,0,0,0,0,0,0
Rock Creek Lower,DDD,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Rock Creek Lower,DDE,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Rock Creek Lower,DDT,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Rock Creek Lower,Chlordane,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Rock Creek Lower,Dieldrin,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Rock Creek Lower,Heptachlor epoxide,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Rock Creek Lower,PAH1,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Rock Creek Lower,PAH2,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Rock Creek Lower,PAH3,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Rock Creek Upper,Arsenic,,1991,,1,,1,1,0,0,0,0,0,0,0,0,0
Rock Creek Upper,Copper,,1991,,2,,2,2,1700,0,0,0,0,0,0,0,0
Rock Creek Upper,Lead,,1991,,2,,2,0,2450,2,0,0,0,0,1,0,0
Rock Creek Upper,Zinc,,1991,,1,,1,0,0,0,0,0,0,0,0,0,0
Rock Creek Upper,DDD,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Rock Creek Upper,DDE,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Rock Creek Upper,DDT,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Rock Creek Upper,Chlordane,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Rock Creek Upper,Dieldrin,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Rock Creek Upper,Heptachlor epoxide,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Rock Creek Upper,PAH1,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Rock Creek Upper,PAH2,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Rock Creek Upper,PAH3,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Soapstone Creek,Arsenic,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Soapstone Creek,Copper,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Soapstone Creek,Lead,Not impaired ,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Soapstone Creek,Zinc,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Soapstone Creek,DDD,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Soapstone Creek,DDE,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Soapstone Creek,DDT,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Soapstone Creek,Chlordane,Revised 2016,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Soapstone Creek,Dieldrin,Revised 2016,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Soapstone Creek,Heptachlor epoxide,Revised 2016,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Soapstone Creek,PAH1,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Soapstone Creek,PAH2,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Soapstone Creek,PAH3,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Texas Avenue Tributary,Arsenic,Remaining impairment,1991,,2,,2,2,0,0,0,0,0,0,0,0,0
Texas Avenue Tributary,Copper,Not impaired 2014,1991,,2,,2,2,1100,0,0,0,0,0,0,0,0
Texas Avenue Tributary,Lead,Not impaired 2014,1991,,2,,2,0,0,2,0,0,0,0,1,0,0
Texas Avenue Tributary,Zinc,Not impaired 2014,1991,,2,,2,0,0,0,0,0,0,0,0,0,0
Texas Avenue Tributary,DDD,Remaining impairment,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Texas Avenue Tributary,DDE,Remaining impairment,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Texas Avenue Tributary,DDT,Remaining impairment,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Texas Avenue Tributary,Chlordane,Remaining impairment,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Texas Avenue Tributary,Dieldrin,Remaining impairment,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Texas Avenue Tributary,Heptachlor epoxide,Remaining impairment,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Texas Avenue Tributary,PAH1,Remaining impairment,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Texas Avenue Tributary,PAH2,Remaining impairment,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Texas Avenue Tributary,PAH3,Remaining impairment,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Tidal Basin,Arsenic,Not impaired ,1991,,2,,2,2,0,0,0,0,0,0,0,0,0
Tidal Basin,Copper,Not impaired ,1991,,2,,2,2,1650,0,0,0,0,0,0,0,0
Tidal Basin,Lead,Not impaired ,1991,,2,,2,0,2400,2,0,0,0,0,1,0,0
Tidal Basin,Zinc,Not impaired ,1991,,2,,2,1,0,0,0,0,0,0,0,0,0
Tidal Basin,DDD,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Tidal Basin,DDE,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Tidal Basin,DDT,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Tidal Basin,Chlordane,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Tidal Basin,Dieldrin,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Tidal Basin,Heptachlor epoxide,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Tidal Basin,PAH1,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Tidal Basin,PAH2,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Tidal Basin,PAH3,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Washington Ship Channel,Arsenic,Not impaired ,1991,,4,,4,4,0,0,0,0,0,0,0,0,0
Washington Ship Channel,Copper,Not impaired ,1991,,4,,4,4,675,0,0,0,0,0,0,0,0
Washington Ship Channel,Lead,Not impaired ,1991,,4,,4,0,1075,4,0,0,0,0,1,0,0
Washington Ship Channel,Zinc,Not impaired ,1991,,4,,4,4,0,0,0,0,0,0,0,0,0
Washington Ship Channel,DDD,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Washington Ship Channel,DDE,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Washington Ship Channel,DDT,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Washington Ship Channel,Chlordane,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Washington Ship Channel,Dieldrin,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Washington Ship Channel,Heptachlor epoxide,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Washington Ship Channel,PAH1,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Washington Ship Channel,PAH2,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Washington Ship Channel,PAH3,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch,Arsenic,,1991,,6,,6,6,0,0,0,0,0,0,0,0,0
Watts Branch,Copper,,1991,,6,,6,6,1183.333333,0,0,0,0,0,0,0,0
Watts Branch,Lead,,1991,,6,,6,0,1983.333333,6,0,0,0,0,1,0,0
Watts Branch,Zinc,,1991,,6,,6,5,0,0,0,0,0,0,0,0,0
Watts Branch,DDD,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch,DDE,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch,DDT,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch,Chlordane,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch,Dieldrin,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch,Heptachlor epoxide,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch,PAH1,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch,PAH2,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch,PAH3,,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Lower,Arsenic,Not impaired ,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Lower,Copper,Not impaired ,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Lower,Lead,Not impaired ,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Lower,Zinc,Not impaired ,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Lower,DDD,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Lower,DDE,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Lower,DDT,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Lower,Chlordane,Remaining impairment,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Lower,Dieldrin,Remaining impairment,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Lower,Heptachlor epoxide,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Lower,PAH1,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Lower,PAH2,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Lower,PAH3,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Upper,Arsenic,Not impaired ,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Upper,Copper,Not impaired ,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Upper,Lead,Not impaired ,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Upper,Zinc,Not impaired ,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Upper,DDD,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Upper,DDE,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Upper,DDT,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Upper,Chlordane,Remaining impairment,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Upper,Dieldrin,Remaining impairment,1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Upper,Heptachlor epoxide,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Upper,PAH1,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Upper,PAH2,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Watts Branch - Upper,PAH3,"Cat. 3, 2014/Impaired for Class D, 2020",1991,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,Arsenic,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,Copper,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,Lead,Not impaired 2014,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,Zinc,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,DDD,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,DDE,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,DDT,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,Chlordane,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,Dieldrin,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,Heptachlor epoxide,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,PAH1,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,PAH2,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,PAH3,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,Arsenic,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,Copper,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,Lead,Not impaired 2014,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,Zinc,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,DDD,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,DDE,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,DDT,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,Chlordane,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,Dieldrin,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,Heptachlor epoxide,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,PAH1,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,PAH2,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,PAH3,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,Arsenic,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,Copper,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,Lead,Not impaired 2014,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,Zinc,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,DDD,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,DDE,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,DDT,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,Chlordane,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,Dieldrin,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,Heptachlor epoxide,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,PAH1,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,PAH2,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,PAH3,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,Arsenic,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,Copper,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,Lead,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,Zinc,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,DDD,Not impaired 2014,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,DDE,Not impaired 2014,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,DDT,Not impaired 2014,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,Chlordane,Revised 2016,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,Dieldrin,Revised 2016,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,Heptachlor epoxide,Revised 2016,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,PAH1,Not impaired 2014,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,PAH2,Not impaired 2014,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,PAH3,Not impaired 2014,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,Arsenic,Not impaired/ Impaired for Class D 2020,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,Copper,Not impaired/ Impaired for Class D 2020,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,Lead,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,Zinc,Not impaired/ Impaired for Class D 2020,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,DDD,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,DDE,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,DDT,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,Chlordane,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,Dieldrin,Revised 2016,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,Heptachlor epoxide,Revised 2016,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,PAH1,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,PAH2,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,PAH3,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,Arsenic,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,Copper,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,Lead,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,Zinc,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,DDD,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,DDE,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,DDT,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,Chlordane,Revised 2016,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,Dieldrin,Revised 2016,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,Heptachlor epoxide,Revised 2016,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,PAH1,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,PAH2,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,PAH3,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,Arsenic,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,Copper,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,Lead,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,Zinc,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,DDD,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,DDE,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,DDT,Revised 2016,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,Chlordane,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,Dieldrin,Revised 2016,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,Heptachlor epoxide,Revised 2016,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,PAH1,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,PAH2,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,PAH3,"Cat. 3, 2014/Impaired for Class D, 2020",1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,Arsenic,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,Copper,Not impaired 2014,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,Lead,Not impaired 2014,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,Zinc,Not impaired 2014,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,DDD,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,DDE,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,DDT,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,Chlordane,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,Dieldrin,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,Heptachlor epoxide,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,PAH1,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,PAH2,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,PAH3,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Davis Tributary,Arsenic,Remaining impairment,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Davis Tributary,Copper,Not impaired 2014,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Davis Tributary,Lead,Not impaired 2014,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Davis Tributary,Zinc,Not impaired 2014,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Davis Tributary,DDD,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Davis Tributary,DDE,Not impaired ,1992,,0,,0,0,-,0,0,0,0,0,-,-,-
